team,matches,points,win,draw,loss,gd,GWG,Goal,CleanSheet,Saves,Red,Yellow,2ndYellow
Forge,2,6,2,0,0,2,2,2,2,3,1,4,0
Cavalry,2,0,0,0,2,-2,0,0,0,6,1,8,0
