game,02 Nov 2019 - Play Offs , , ,1 ,X ,2 ,B's ,hw,,aw,,,home_team,away_team
I62,22:00,Pacific FC - Valour,2:1,2.05,3.3,3.32,4,0.49,0.30,0.30,W,L,Pacific FC,Valour FC
I63,19:30,Forge - Cavalry,1:0,2.57,3.2,2.58,4,0.39,0.31,0.39,W,L,Forge FC,Cavalry FC
I64,22:00,Edmonton - York 9,2:2,2.04,3.26,3.38,4,0.49,0.31,0.30,D,D,FC Edmonton,York9 FC
I65,00:00,Valour - HFX Wanderers,2:0,1.96,3.3,3.68,8,0.51,0.30,0.27,W,L,Valour FC,HFX Wanderers FC
I66,01:00,Cavalry - Pacific FC,1:1,1.49,4.07,5.92,8,0.67,0.25,0.17,D,D,Cavalry FC,Pacific FC
I67,17:00,HFX Wanderers - Edmonton,0:0,2.63,3.18,2.59,8,0.38,0.31,0.39,D,D,HFX Wanderers FC,FC Edmonton
I68,19:30,Valour - Cavalry,0:8,2.37,3.31,2.8,8,0.42,0.30,0.36,L,W,Valour FC,Cavalry FC
I69,02:00,Pacific FC - Forge,1:1,3.9,3.54,1.81,5,0.26,0.28,0.55,D,D,Pacific FC,Forge FC
I70,17:00,Forge - York 9,2:1,1.84,3.51,3.74,6,0.54,0.28,0.27,W,L,Forge FC,York9 FC
I71,01:00,Edmonton - Cavalry,0:1,3.92,3.14,1.98,7,0.26,0.32,0.51,L,W,FC Edmonton,Cavalry FC
I72,02:00,Pacific FC - York 9,0:2,1.99,3.55,3.32,5,0.50,0.28,0.30,L,W,Pacific FC,York9 FC
I73,00:00,Valour - Forge,1:3,5.2,4.03,1.55,7,0.19,0.25,0.65,L,W,Valour FC,Forge FC
I74,19:00,Pacific FC - Edmonton,1:0,2.13,3.27,3.17,4,0.47,0.31,0.32,W,L,Pacific FC,FC Edmonton
I75,17:00,Forge - HFX Wanderers,2:2,1.3,5,8.34,5,0.77,0.20,0.12,D,D,Forge FC,HFX Wanderers FC
I76,19:30,York 9 - Valour,2:4,1.82,3.56,4.03,6,0.55,0.28,0.25,L,W,York9 FC,Valour FC
I77,21:30,HFX Wanderers - Forge,1:1,3.82,3.63,1.82,7,0.26,0.28,0.55,D,D,HFX Wanderers FC,Forge FC
I78,17:00,HFX Wanderers - Valour,0:0,2.55,3.21,2.65,6,0.39,0.31,0.38,D,D,HFX Wanderers FC,Valour FC
I79,19:30,Edmonton - York 9,1:3,1.96,3.36,3.65,6,0.51,0.30,0.27,L,W,FC Edmonton,York9 FC
I80,19:30,Cavalry - Pacific FC,4:1,1.68,3.76,4.37,6,0.60,0.27,0.23,W,L,Cavalry FC,Pacific FC
I81,17:00,HFX Wanderers - Edmonton,1:1,2.41,3.37,2.72,6,0.41,0.30,0.37,D,D,HFX Wanderers FC,FC Edmonton
I82,19:30,Forge - Pacific FC,3:0,1.43,4.44,6.34,6,0.70,0.23,0.16,W,L,Forge FC,Pacific FC
I83,22:00,York 9 - Cavalry,1:1,4.22,3.72,1.74,6,0.24,0.27,0.57,D,D,York9 FC,Cavalry FC
I84,01:00,Edmonton - Forge,0:1,3.83,3.68,1.85,5,0.26,0.27,0.54,W,L,Cavalry FC,Valour FC
I85,01:00,Cavalry - Valour,4:1,1.39,4.46,7.39,5,0.72,0.22,0.14,L,W,FC Edmonton,Forge FC
I86,02:00,Pacific FC - HFX Wanderers,1:1,2.33,3.16,3.05,5,0.43,0.32,0.33,D,D,Pacific FC,HFX Wanderers FC
