team,name,Min,CleanSheet,PsOnHfFl,Recovery,GoalCncd,GoalCnIBx,Saves,SvClct,SvDive,SvHands,SvInBox,SvOutBox,SvPrdSaf,SvStand,BgChncFace,ExpGAg,display
Edmonton,Connor James,90,0,0,2,2,1,2,2,1,2,1,1,0,1,0,0.23,Connor James
Edmonton,Connor James,90,0,1,0,2,2,3,1,2,2,2,1,1,1,5,2.84,Connor James
Edmonton,Connor James,90,0,0,2,2,2,2,2,1,2,0,2,0,1,1,0.64,Connor James
Edmonton,Connor James,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Connor James
Edmonton,Dylon Powley,90,0,2,2,1,0,3,1,3,3,1,2,2,0,1,1.09,Dylon Powley
Edmonton,Dylon Powley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Dylon Powley
Edmonton,Dylon Powley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Dylon Powley
Edmonton,Dylon Powley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Dylon Powley
Edmonton,Dylon Powley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Dylon Powley
Edmonton,Dylon Powley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Dylon Powley
Cavalry,Nikolas Giantsopoulos,90,0,3,0,1,1,2,0,2,2,2,0,2,0,1,1.07,Niko Giantsopoulos
Cavalry,Nikolas Giantsopoulos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Niko Giantsopoulos
Cavalry,Nikolas Giantsopoulos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Niko Giantsopoulos
Cavalry,Nikolas Giantsopoulos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Niko Giantsopoulos
Cavalry,Nikolas Giantsopoulos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Niko Giantsopoulos
Cavalry,Nikolas Giantsopoulos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Niko Giantsopoulos
York9,Ezequiel Carrasco,90,0,2,2,1,0,1,1,0,1,1,0,0,0,2,1.1,Ezequiel Carrasco
York9,Ezequiel Carrasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Ezequiel Carrasco
York9,Ezequiel Carrasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Ezequiel Carrasco
York9,Ezequiel Carrasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Ezequiel Carrasco
York9,Ezequiel Carrasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Ezequiel Carrasco
York9,Ezequiel Carrasco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Ezequiel Carrasco
Valour,Matthew Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matt Silva
Valour,Matthew Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matt Silva
Valour,Matthew Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matt Silva
Valour,Matthew Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matt Silva
Valour,Matthew Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matt Silva
Valour,Matthew Silva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Matt Silva
Forge,Baj Maan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baj Maan
Forge,Baj Maan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baj Maan
Forge,Baj Maan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baj Maan
Forge,Baj Maan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baj Maan
Forge,Baj Maan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baj Maan
Forge,Baj Maan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Baj Maan
Atlético Ottawa,Horace Patient Sobze Zemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Horace Sobze Zemo
Atlético Ottawa,Horace Patient Sobze Zemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Horace Sobze Zemo
Atlético Ottawa,Horace Patient Sobze Zemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Horace Sobze Zemo
Atlético Ottawa,Horace Patient Sobze Zemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Horace Sobze Zemo
Atlético Ottawa,Horace Patient Sobze Zemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Horace Sobze Zemo
Atlético Ottawa,Horace Patient Sobze Zemo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Horace Sobze Zemo
Atlético Ottawa,Richard Soares Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Ricky Gomes
Atlético Ottawa,Richard Soares Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Ricky Gomes
Atlético Ottawa,Richard Soares Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Ricky Gomes
Atlético Ottawa,Richard Soares Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Ricky Gomes
Atlético Ottawa,Richard Soares Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Ricky Gomes
Atlético Ottawa,Richard Soares Gomes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,Ricky Gomes
