team,Age,pos,name,overall,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,Crosses,Touches,TcklMade%,Pass%,DuelsW%,display,number
Atlético Ottawa,27.0,cm,Ben McKendry,0.29,408,0.09,0.06,0,0,0,0,0,4,292,66.7,78.0,52.0,Ben McKendry,22
Cavalry,25.0,cm,Bruno Zebie,0.28,480,0.93,0.07,0,0,0,0,0,3,253,63.2,82.0,46.0,Bruno Zebie,16
Pacific,26.0,lm,Josh Heard,0.27,218,1.18,0.37,1,0,0,0,1,12,102,50.0,72.0,38.0,Josh Heard,11
Edmonton,24.0,cam,Hanson Boakai,0.26,309,0.3,0.13,0,0,0,0,0,12,204,42.9,89.0,41.0,Hanson Boakai,10
York United,19.0,cm,Isaiah Johnston,0.26,18,0.0,0.0,0,0,0,0,0,0,13,100.0,89.0,67.0,Isaiah Johnston,44
Pacific,21.0,cm,Noah Verhoeven,0.26,173,0.07,0.11,0,0,0,0,0,5,115,75.0,74.0,65.0,Noah Verhoeven,19
Edmonton,19.0,dm,Chance Carter,0.25,203,0.03,0.12,0,0,0,0,0,0,121,75.0,87.0,52.0,Chance Carter,14
Atlético Ottawa,17.0,cm,Antoine Coupland,0.22,97,0.0,0.0,0,0,0,0,0,0,29,80.0,75.0,56.0,Antoine Coupland,11
Edmonton,29.0,dm,Yong-Chan Son,0.22,303,0.0,0.21,0,0,0,0,0,5,172,40.0,83.0,33.0,Yong-Chan Son,7
Atlético Ottawa,25.0,dm,Ajay Khabra,0.22,308,0.11,0.05,0,0,0,0,0,1,165,50.0,86.0,29.0,Ajay Khabra,23
HFX Wanderers,19.0,cm,Scott Firth,0.21,98,0.0,0.06,0,0,0,0,0,0,71,40.0,87.0,56.0,Scott Firth,15
York United,26.0,dm,Chris Mannella,0.21,100,0.0,0.0,0,0,0,0,0,0,69,66.7,76.0,48.0,Chris Mannella,5
Valour,21.0,rb,Dante Campbell,0.21,227,0.0,0.04,0,0,0,0,0,1,157,50.0,73.0,41.0,Dante Campbell,48
Atlético Ottawa,22.0,cm,Michel Djaozandry,0.2,6,0.0,0.0,0,0,0,0,0,0,5,50.0,100.0,50.0,Michel Djaozandry,12
York United,20.0,ram,Max Ferrari,0.19,159,0.26,0.0,0,0,0,0,0,6,83,50.0,80.0,29.0,Max Ferrari,16
Valour,20.0,lam,Solomon Kojo Antwi,0.16,80,0.02,0.0,0,0,0,0,0,0,43,44.4,74.0,28.0,Solomon Kojo Antwi,25
York United,25.0,ram,Michael Petrasso,0.15,130,0.58,0.0,0,0,0,0,0,4,42,0.0,84.0,40.0,Michael Petrasso,21
Atlético Ottawa,18.0,sa,Matteo de Brienne,,0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,Matteo  de Brienne,42
York United,18.0,sm,Julian Altobelli,,0,0.0,0.0,0,0,0,0,0,0,0,0.0,,,Julian Altobelli,22
