team,Age,pos,name,overall,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,Crosses,Touches,TcklMade%,Pass%,DuelsW%,display
Edmonton,23.0,dm,Samuel Gardner,0.22,90,0.06,0.0,0.0,0.0,0.0,0.0,0.0,2.0,71.0,75.0,76.0,47.0,Sam Gardner
Atlético Ottawa,17.0,cm,Antoine Coupland,0.22,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,80.0,75.0,56.0,Antoine Coupland
Edmonton,29.0,dm,Yong-Chan Son,0.22,90,0.0,0.07,0.0,0.0,0.0,0.0,0.0,1.67,57.33,13.33,27.67,11.0,Yong-Chan Son
Valour,32.0,lam,Arnold Bouka Moutou,0.21,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,34.0,100.0,53.0,45.0,Arnold Bouka Moutou
HFX Wanderers,19.0,cm,Scott Firth,0.21,90,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,71.0,40.0,87.0,56.0,Scott Firth
York United,26.0,dm,Chris Mannella,0.21,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,66.7,76.0,48.0,Chris Mannella
Atlético Ottawa,22.0,cm,Michel Djaozandry,0.2,90,,,,,,,,,inf,inf,inf,inf,Michel Djaozandry
York United,20.0,ram,Max Ferrari,0.19,90,0.13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,41.5,25.0,40.0,14.5,Max Ferrari
Cavalry,17.0,cam,Aribim Pepple,0.18,90,0.36,0.07,0.0,0.0,0.0,0.0,0.0,1.0,41.0,66.7,77.0,25.0,Aribim Pepple
Valour,20.0,lam,Solomon Kojo Antwi,0.16,90,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,44.4,74.0,28.0,Solomon Kojo Antwi
York United,25.0,ram,Michael Petrasso,0.15,90,0.58,0.0,0.0,0.0,0.0,0.0,0.0,4.0,42.0,0.0,84.0,40.0,Michael Petrasso
Forge,21.0,cm,Klaidi Cela,0.0,90,,,,,,,,,inf,,,,Klaidi Cela
Cavalry,25.0,rm,Oluwatofarati Fakunle,,90,inf,,,,,,,,inf,,inf,,Tofa Fakunle
York United,18.0,sm,Julian Altobelli,,90,,,,,,,,,,,,,Julian Altobelli
