name,Ast,Min,display,position,number,team
Michael Petrasso,0,130,Michael Petrasso,m,21,York9 FC
Nathan Ingham,0,540,Nathan Ingham,g,29,York9 FC
Abdoulaye Samake,0,89,Abdou Samake,d,5,Pacific FC
Julian Dunn-Johnson,0,630,Julian Dunn,d,5,Valour FC
Julian Altobelli,0,0,Julian Altobelli,m,22,York9 FC
Chris Mannella,0,100,Chris Mannella,m,5,York9 FC
Chrisnovic N'Sa,0,738,Chris N'sa,d,6,HFX Wanderers FC
Christian Oxner,0,630,Christian Oxner,g,50,HFX Wanderers FC
Christopher Lenroy Nanco,0,224,Chris Nanco,f,11,Forge FC
Connor James,0,540,Connor James,g,1,FC Edmonton
Cory Bent,0,500,Cory Bent,m,23,HFX Wanderers FC
Daniel Kinumbe,0,208,Daniel Kinumbe,d,13,HFX Wanderers FC
Daniel Krutzen,0,961,Daniel Krutzen,d,5,Forge FC
Dante Campbell,0,227,Dante Campbell,m,48,Valour FC
Daryl Fordyce,0,164,Daryl Fordyce,f,16,Valour FC
David Doe,0,54,David Doe,f,26,FC Edmonton
David Edward Edgar,0,900,David Edgar,d,30,Forge FC
Dean Northover,0,355,Dean Northover,d,12,Cavalry FC
Diego Gutiérrez,0,489,Diego Gutiérrez,m,8,Valour FC
Diyaeddine Abzi,0,438,Diyaeddine Abzi,d,20,York9 FC
Dominic Samuel,0,721,Dominic Samuel,d,4,Forge FC
Dominick Zator,0,900,Dominick Zator,d,4,Cavalry FC
Chance Carter,0,203,Chance Carter,m,14,FC Edmonton
Chakib Hocine,0,66,Chakib Hocine,d,4,Valour FC
Callum Irving,0,540,Callum Irving,g,13,Pacific FC
Andrew Jean-Baptiste,0,462,Andrew Jean-Baptiste,d,35,Valour FC
Ajay Khabra,0,308,Ajay Khabra,m,23,Atlético Ottawa
Akeem Garcia,0,758,Akeem Garcia,f,11,HFX Wanderers FC
Alessandro Hojabrpour,0,385,Alessandro Hojabrpour,m,21,Pacific FC
Alex De Carolis,0,371,Alex De Carolis,d,24,HFX Wanderers FC
Alexander Börje Achinioti-Jönsson,0,792,Alexander Achinioti-Jönsson,m,13,Forge FC
Allan Zebie,0,412,Allan Zebie,d,4,FC Edmonton
Amer Didic,0,241,Amer Didic,d,55,FC Edmonton
Anthony Joseph Novak,0,381,Anthony Novak,f,23,Forge FC
Bruno Zebie,0,480,Bruno Zebie,m,16,Cavalry FC
Antoine Coupland,0,97,Antoine Coupland,m,11,Atlético Ottawa
Aribim Pepple,0,67,Aribim Pepple,f,24,Cavalry FC
Arnold Bouka Moutou,0,70,Arnold Bouka Moutou,d,29,Valour FC
Austin Ricci,0,365,Austin Ricci,f,9,Valour FC
Baj Maan,0,90,Baj Maan,g,31,Forge FC
Ben Fisk,0,601,Ben Fisk,m,10,Atlético Ottawa
Ben McKendry,0,408,Ben McKendry,m,22,Atlético Ottawa
Duran Lee,0,122,Duran Lee,d,23,FC Edmonton
Dylan Carreiro,0,333,Dylan Carreiro,m,10,Valour FC
Dylon Powley,0,90,Dylon Powley,g,13,FC Edmonton
Jems Geffrard,0,945,Jems Geffrard,d,3,HFX Wanderers FC
Jake Ruby,0,312,Jake Ruby,d,20,HFX Wanderers FC
Jamar Dixon,0,616,Jamar Dixon,m,22,Pacific FC
James Pantemis,0,630,James Pantemis,g,1,Valour FC
Jan-Michael Williams,0,0,Michael Petrasso,-,999,No Club FC
Jarred Phillips,0,290,Jarred Phillips,d,14,Atlético Ottawa
Jason Beaulieu,0,360,Jason Beaulieu,g,1,HFX Wanderers FC
Jeannot Esua,0,617,Jeannot Esua,d,3,FC Edmonton
Jonathan Grant,0,274,Jonathan Grant,d,2,Forge FC
Jace Kotsopoulos,0,28,Jace Kotsopoulos,f,12,York9 FC
Jonathan Wheeldon,0,459,Jay Wheeldon,d,14,Cavalry FC
Jordan Brown,0,657,Jordan Brown,f,9,Cavalry FC
Jordan Dunstan,0,254,Jordan Dunstan,d,21,Forge FC
Jordan Haynes,0,465,Jordan Haynes,d,3,Pacific FC
Joseph Di Chiara,0,540,Joseph Di Chiara,m,8,York9 FC
Aboubacar Sissoko,0,707,Aboubacar Sissoko,m,17,HFX Wanderers FC
José Hernández,0,102,Jose Hernandez,f,20,Cavalry FC
Jair Ayrton Córdova Carpio,0,71,Jair Córdova,f,19,Cavalry FC
Isaiah Johnston,0,18,Isaiah Johnston,m,44,York9 FC
Easton Ongaro,0,480,Easton Ongaro,f,19,FC Edmonton
Fraser Aird,0,453,Fraser Aird,m,33,Valour FC
Elimane Oumar Cissé,0,539,Elimane Cissé,m,3,Forge FC
Elliot Simmons,0,627,Elliot Simmons,m,15,Cavalry FC
Erik Zetterberg,0,465,Erik Zetterberg,m,21,FC Edmonton
Evan Brandon John,0,618,Brandon John,d,4,Atlético Ottawa
Evan Couturier,0,0,Chance Carter,-,999,No Club FC
Ezequiel Carrasco,0,90,Ezequiel Carrasco,g,37,York9 FC
Federico Peña,0,327,Federico Peña,f,77,Valour FC
Fugo Segawa,0,353,Fugo Segawa,d,26,York9 FC
Ijah Halley,0,157,Ijah Halley,d,14,York9 FC
Gabriel Monteiro Vasconcelos,0,87,Gabriel Vasconcelos,f,99,York9 FC
Gabriel Wiethaeuper-Balbinotti,0,203,Gabriel Balbinotti,f,20,Forge FC
Gianfranco Facchineri,0,206,Gianfranco Facchineri,d,6,Atlético Ottawa
Hanson Boakai,0,309,Hanson Boakai,m,10,FC Edmonton
Horace Patient Sobze Zemo,0,0,Horace Sobze Zemo,-,999,No Club FC
Ibrahima Sanoh,0,124,Ibrahima Sanoh,f,9,HFX Wanderers FC
Ignacio Zabal Almazán,0,630,Nacho Zabal,g,1,Atlético Ottawa
Álvaro Rivero Sánchez,0,359,Álvaro Rivero,f,7,York9 FC
