team,name,Min,Red,2ndYellow,Yellow,Fls,display,short
Pacific FC,Marcel de Jong,442,0,0,0,3,Marcel de Jong,pac
York9 FC,Luca Gasparotto,630,0,0,2,5,Luca Gasparotto,y9
HFX Wanderers FC,Jems Geffrard,945,0,0,1,8,Jems Geffrard,hfx
Cavalry FC,Robert Boskovic,479,0,0,2,7,Robert Boskovic,cav
York9 FC,Joseph Di Chiara,540,0,0,5,15,Joseph Di Chiara,y9
Valour FC,Diego Gutiérrez,489,0,0,1,10,Diego Gutiérrez,val
Atlético Ottawa,Mohamed Kourouma,617,0,0,1,12,Mohamed Kourouma,ato
York9 FC,Manuel Aparicio,530,0,0,2,14,Manny Aparicio,y9
Valour FC,Julian Dunn-Johnson,630,0,0,0,8,Julian Dunn,val
Forge FC,Triston Henry,900,0,0,0,0,Triston Henry,for
Forge FC,Elimane Oumar Cissé,539,0,0,0,10,Elimane Cissé,for
York9 FC,Roger Thompson,630,0,0,0,5,Roger Thompson,y9
York9 FC,Morey Doner,630,0,0,0,4,Morey Doner,y9
Pacific FC,Terran Campbell,480,0,0,0,13,Terran Campbell,pac
HFX Wanderers FC,Peter Schaale,900,0,0,3,9,Peter Schaale,hfx
Pacific FC,Thomas Meilleur-Giguère,900,0,0,1,4,Thomas Meilleur-Giguère,pac
Pacific FC,Kadin Chung,765,0,0,1,4,Kadin Chung,pac
Forge FC,Kwame Awuah,842,0,0,1,10,Kwame Awuah,for
Forge FC,David Edward Edgar,900,0,0,4,12,David Edgar,for
Pacific FC,Lukas MacNaughton,720,0,0,0,13,Lukas MacNaughton,pac
Pacific FC,Matthew Baldisimo,875,0,0,1,18,Matthew Baldisimo,pac
Forge FC,Kyle Edward Bekker,879,0,0,1,14,Kyle Bekker,for
Cavalry FC,Elijah Adekugbe,638,0,0,2,7,Elijah Adekugbe,cav
HFX Wanderers FC,Andre Rampersad,820,0,0,1,12,Andre Rampersad,hfx
FC Edmonton,Jeannot Esua,617,0,0,1,6,Jeannot Esua,fce
Pacific FC,Marco Bustos,849,0,0,3,13,Marco Bustos,pac
Cavalry FC,Mason Trafford,720,0,0,0,8,Mason Trafford,cav
HFX Wanderers FC,Aboubacar Sissoko,707,0,0,0,10,Aboubacar Sissoko,hfx
HFX Wanderers FC,Chrisnovic N'Sa,738,0,0,0,10,Chris N'sa,hfx
Cavalry FC,Nathan Mavila,709,0,0,1,21,Nathan Mavila,cav
Forge FC,Dominic Samuel,721,0,0,2,12,Dominic Samuel,for
FC Edmonton,Ramon Soria,630,0,0,1,7,Ramon Soria,fce
Cavalry FC,Mohamed Farsi,611,0,0,2,7,Mohamed Farsi,cav
FC Edmonton,Mélé Temguia,450,0,0,0,13,Mélé Temguia,fce
Atlético Ottawa,Francisco Javier Acuña Víctor,531,0,0,2,4,Francisco Acuña,ato
Valour FC,Raphael Ohin,501,0,0,1,10,Raphael Ohin,val
Cavalry FC,Nikolas Ledgerwood,411,0,0,1,13,Nik Ledgerwood,cav
Pacific FC,Sean Young,462,0,0,1,12,Sean Young,pac
Pacific FC,Jamar Dixon,616,0,0,3,17,Jamar Dixon,pac
Pacific FC,Zachary Verhoven,308,0,0,1,16,Zach Verhoven,pac
Valour FC,Fraser Aird,453,0,0,3,10,Fraser Aird,val
HFX Wanderers FC,Christian Oxner,630,0,0,2,0,Christian Oxner,hfx
Valour FC,José Antonio Galán Pedrosa,310,0,0,2,9,José Galán,val
Pacific FC,Alejandro Díaz Liceága,609,0,0,0,4,Alejandro Diaz,pac
HFX Wanderers FC,Akeem Garcia,758,0,0,0,17,Akeem Garcia,hfx
Cavalry FC,Bruno Zebie,480,0,0,0,10,Bruno Zebie,cav
FC Edmonton,Keven Steven Alemán Bustos,537,0,0,1,6,Keven Alemán,fce
York9 FC,Wataru Murofushi,329,0,0,0,8,Wataru Murofushi,y9
Atlético Ottawa,Malcolm Isaiah Shaw,595,0,0,0,17,Malcolm Shaw,ato
HFX Wanderers FC,Jake Ruby,312,0,0,1,5,Jake Ruby,hfx
Cavalry FC,Dean Northover,355,0,0,0,8,Dean Northover,cav
HFX Wanderers FC,Cory Bent,500,0,0,0,9,Cory Bent,hfx
Valour FC,James Pantemis,630,0,0,0,0,James Pantemis,val
HFX Wanderers FC,Omar Kreim,372,0,0,0,3,Omar Kreim,hfx
Forge FC,Molham Babouli,455,0,0,0,9,Mo Babouli,for
York9 FC,Fugo Segawa,353,0,0,1,6,Fugo Segawa,y9
FC Edmonton,Allan Zebie,412,0,0,1,2,Allan Zebie,fce
Forge FC,Maxim Tissot,394,0,0,1,4,Maxim Tissot,for
Atlético Ottawa,Milovan Kapor,495,0,1,2,8,Milovan Kapor,ato
Cavalry FC,Marco Carducci,810,0,0,1,1,Marco Carducci,cav
FC Edmonton,Erik Zetterberg,465,0,0,2,6,Erik Zetterberg,fce
Cavalry FC,Jonathan Wheeldon,459,0,1,2,10,Jay Wheeldon,cav
Atlético Ottawa,Víctor Martínez Manrique,540,0,0,2,12,Viti Martínez,ato
Atlético Ottawa,Ignacio Zabal Almazán,630,0,0,0,0,Nacho Zabal,ato
Cavalry FC,Nico Pasquotti,537,0,0,0,6,Nico Pasquotti,cav
York9 FC,Ryan Telfer,620,0,0,3,10,Ryan Telfer,y9
Atlético Ottawa,Evan Brandon John,618,0,0,2,11,Brandon John,ato
Valour FC,Stefan Cebara,458,0,0,1,6,Stefan Cebara,val
HFX Wanderers FC,Alex Marshall,583,0,0,1,14,Alex Marshall,hfx
Pacific FC,Callum Irving,540,0,0,1,0,Callum Irving,pac
York9 FC,Diyaeddine Abzi,438,0,0,0,5,Diyaeddine Abzi,y9
Forge FC,David Choinière,598,0,0,0,6,David Choinière,for
Valour FC,Brett Levis,383,0,0,1,9,Brett Levis,val
Atlético Ottawa,Ben McKendry,408,0,0,2,9,Ben McKendry,ato
Atlético Ottawa,Ben Fisk,601,0,0,1,4,Ben Fisk,ato
Valour FC,Andrew Jean-Baptiste,462,0,0,0,8,Andrew Jean-Baptiste,val
York9 FC,Evan Couturier,0,0,0,0,0,Evan Couturier,y9
