team,Age,pos,name,overall,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,BgChnc,BgChncCrtd,ChncOpnPl,Chance,SOG,SOTInBox,SOTOBox,ShotDirFK,SOTHead,Pass%,display,number
HFX Wanderers FC,24.0,cf,Akeem Garcia,0.55,90,0.62,0.04,0.75,0.25,0.0,0.0,0.0,1.25,0.0,0.75,0.75,1.38,1.25,0.12,0.0,0.12,10.12,Akeem Garcia,1.38
Pacific FC,24.0,cf,Alejandro Díaz Liceága,0.52,90,0.43,0.26,0.43,0.0,0.0,0.0,0.29,0.71,0.43,1.0,1.0,1.14,1.14,0.0,0.0,0.29,10.0,Alejandro Diaz,1.29
HFX Wanderers FC,24.0,cam,João Morelli Neto,0.5,90,0.48,0.06,0.67,0.33,0.0,0.0,0.17,0.67,0.0,1.0,1.17,1.17,0.83,0.33,0.33,0.17,11.67,João Morelli,3.67
Cavalry FC,31.0,cf,Marcus Haber,0.45,90,0.56,0.08,0.33,0.0,0.0,0.17,0.0,1.33,0.0,0.83,0.83,1.33,1.33,0.0,0.0,0.67,10.0,Marcus Haber,4.83
Forge FC,27.0,cf,Molham Babouli,0.4,90,0.13,0.4,0.2,0.0,0.0,0.0,0.4,0.2,0.6,1.6,1.8,0.8,0.8,0.0,0.0,0.0,13.6,Mo Babouli,3.8
Atlético Ottawa,30.0,ram,Mohamed Kourouma,0.39,90,0.23,0.08,0.14,0.0,0.0,0.0,0.0,0.29,0.14,0.43,0.86,0.86,0.43,0.43,0.57,0.14,11.0,Mohamed Kourouma,1.29
Pacific FC,22.0,cf,Terran Campbell,0.36,90,0.22,0.15,0.2,0.0,0.0,0.2,0.2,0.2,0.4,0.8,1.0,0.6,0.6,0.0,0.0,0.2,13.2,Terran Campbell,2.8
Atlético Ottawa,25.0,cf,Malcolm Isaiah Shaw,0.35,90,0.33,0.05,0.29,0.0,0.0,0.0,0.14,0.57,0.14,0.43,0.43,0.86,0.71,0.14,0.14,0.0,11.57,Malcolm Shaw,2.71
Cavalry FC,24.0,cf,Jordan Brown,0.35,90,0.33,0.07,0.43,0.14,0.0,0.0,0.0,0.43,0.0,0.43,0.57,1.0,0.71,0.29,0.0,0.0,11.57,Jordan Brown,1.29
HFX Wanderers FC,27.0,lam,Alessandro Riggi,0.35,90,0.11,0.18,0.2,0.0,0.0,0.0,0.2,0.2,0.2,1.2,1.4,1.0,0.2,0.8,0.0,0.0,14.8,Alessandro Riggi,2.0
FC Edmonton,22.0,cf,Easton Ongaro,0.33,90,0.44,0.05,0.6,0.0,0.0,0.2,0.0,0.4,0.0,0.8,1.0,0.6,0.6,0.0,0.2,0.2,15.2,Easton Ongaro,3.8
Cavalry FC,28.0,cf,Oliver Minatel,0.3,90,0.06,0.21,0.0,0.0,0.0,0.0,0.2,0.0,0.4,1.2,1.2,0.4,0.0,0.4,0.0,0.0,16.0,Oliver Minatel,1.4
Valour FC,21.0,cf,Shaan Hundal,0.28,90,0.09,0.07,0.0,0.0,0.0,0.0,0.67,0.0,0.0,1.67,1.67,1.33,0.67,0.67,0.0,0.0,25.67,Shaan Hundal,3.67
Forge FC,26.0,cf,Anthony Joseph Novak,0.25,90,0.64,0.04,0.5,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.75,1.5,1.5,0.0,0.0,0.0,20.25,Anthony Novak,5.75
Cavalry FC,25.0,rw,Nico Pasquotti,0.25,90,0.24,0.09,0.0,0.0,0.0,0.0,0.0,0.33,0.17,1.0,1.0,0.33,0.17,0.17,0.0,0.0,12.67,Nico Pasquotti,2.83
Valour FC,25.0,cm,Mastanabal Kacher,0.19,90,0.08,0.1,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.75,0.25,0.25,0.0,0.0,0.0,18.5,Masta Kacher,1.75
Forge FC,24.0,lw,Kadell Thomas,0.18,90,0.38,0.07,0.0,0.0,0.0,0.0,0.33,0.67,0.0,1.0,1.0,0.33,0.33,0.0,0.0,0.0,24.33,Kadell Thomas,5.67
Valour FC,24.0,cf,Austin Ricci,0.18,90,0.24,0.03,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.75,1.25,1.25,0.0,0.0,0.0,14.5,Austin Ricci,2.25
Forge FC,25.0,lw,Christopher Lenroy Nanco,0.17,90,0.1,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,1.5,1.0,0.5,0.0,0.0,35.0,Chris Nanco,5.5
Valour FC,33.0,cf,Daryl Fordyce,0.15,90,0.76,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.5,1.5,0.0,0.5,0.5,31.0,Daryl Fordyce,8.0
FC Edmonton,19.0,lam,Marcus Velado-Tsegaye,0.15,90,0.14,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,27.0,Marcus Velado-Tsegaye,5.67
York9 FC,23.0,cf,Álvaro Rivero Sánchez,0.15,90,0.08,0.01,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.25,0.25,0.0,0.0,21.75,Álvaro Rivero,1.75
Valour FC,21.0,lb,Federico Peña,0.14,90,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,21.75,Federico Peña,19.25
FC Edmonton,32.0,cf,Tomi Ameobi,0.14,90,0.5,0.04,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33,0.67,0.67,0.67,0.0,0.0,0.0,24.67,Tomi Ameobi,6.0
HFX Wanderers FC,26.0,cf,Ibrahima Sanoh,0.13,90,1.3,0.04,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,55.0,Ibrahima Sanoh,9.0
Cavalry FC,20.0,cf,José Hernández,0.12,90,0.03,0.44,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,82.0,Jose Hernandez,20.0
Forge FC,22.0,lw,Marcel Dominik Zajac,0.1,90,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.0,26.67,Marcel Zajac,3.0
Cavalry FC,17.0,cam,Aribim Pepple,0.09,90,0.36,0.07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,77.0,Aribim Pepple,24.0
York9 FC,17.0,ss,Lowell Wright,0.09,90,0.8,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,58.0,Lowell Wright,80.0
Cavalry FC,24.0,lw,Jair Ayrton Córdova Carpio,0.09,90,0.66,0.04,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,62.0,Jair Córdova,19.0
Forge FC,22.0,cf,Gabriel Wiethaeuper-Balbinotti,0.08,90,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,30.5,Gabriel Balbinotti,10.0
