team,Age,pos,name,overall,Min,ExpG,ExpA,Goal,PenGoal,GoalDirFK,GoalHead,Ast,BgChnc,BgChncCrtd,ChncOpnPl,Chance,SOG,SOTInBox,SOTOBox,ShotDirFK,SOTHead,Pass%,display,number
HFX Wanderers,24.0,cf,Akeem Garcia,0.55,758,5.0,0.36,6,2,0,0,0,10,0,6,6,11,10,1,0,1,81.0,Akeem Garcia,11
Pacific,24.0,cf,Alejandro Díaz Liceága,0.52,609,2.98,1.79,3,0,0,0,2,5,3,7,7,8,8,0,0,2,70.0,Alejandro Diaz,9
HFX Wanderers,24.0,cam,João Morelli Neto,0.5,561,2.87,0.34,4,2,0,0,1,4,0,6,7,7,5,2,2,1,70.0,João Morelli,22
Cavalry,31.0,cf,Marcus Haber,0.45,507,3.38,0.48,2,0,0,1,0,8,0,5,5,8,8,0,0,4,60.0,Marcus Haber,29
Forge,27.0,cf,Molham Babouli,0.4,455,0.63,1.98,1,0,0,0,2,1,3,8,9,4,4,0,0,0,68.0,Mo Babouli,19
Atlético Ottawa,30.0,ram,Mohamed Kourouma,0.39,617,1.61,0.57,1,0,0,0,0,2,1,3,6,6,3,3,4,1,77.0,Mohamed Kourouma,9
Pacific,22.0,cf,Terran Campbell,0.36,480,1.11,0.76,1,0,0,1,1,1,2,4,5,3,3,0,0,1,66.0,Terran Campbell,14
Atlético Ottawa,25.0,cf,Malcolm Isaiah Shaw,0.35,595,2.31,0.38,2,0,0,0,1,4,1,3,3,6,5,1,1,0,81.0,Malcolm Shaw,19
Cavalry,24.0,cf,Jordan Brown,0.35,657,2.29,0.49,3,1,0,0,0,3,0,3,4,7,5,2,0,0,81.0,Jordan Brown,9
HFX Wanderers,27.0,lam,Alessandro Riggi,0.35,471,0.55,0.89,1,0,0,0,1,1,1,6,7,5,1,4,0,0,74.0,Alessandro Riggi,10
Edmonton,22.0,cf,Easton Ongaro,0.33,480,2.2,0.25,3,0,0,1,0,2,0,4,5,3,3,0,1,1,76.0,Easton Ongaro,19
Cavalry,28.0,cf,Oliver Minatel,0.3,454,0.32,1.03,0,0,0,0,1,0,2,6,6,2,0,2,0,0,80.0,Oliver Minatel,7
Valour,21.0,cf,Shaan Hundal,0.28,232,0.26,0.2,0,0,0,0,2,0,0,5,5,4,2,2,0,0,77.0,Shaan Hundal,11
Forge,26.0,cf,Anthony Joseph Novak,0.25,381,2.57,0.17,2,0,0,0,0,3,0,3,3,6,6,0,0,0,81.0,Anthony Novak,23
Cavalry,25.0,rw,Nico Pasquotti,0.25,537,1.46,0.54,0,0,0,0,0,2,1,6,6,2,1,1,0,0,76.0,Nico Pasquotti,17
Valour,25.0,cm,Mastanabal Kacher,0.19,360,0.3,0.4,1,0,0,0,0,0,0,5,7,1,1,0,0,0,74.0,Masta Kacher,7
Forge,24.0,lw,Kadell Thomas,0.18,283,1.13,0.21,0,0,0,0,1,2,0,3,3,1,1,0,0,0,73.0,Kadell Thomas,17
Valour,24.0,cf,Austin Ricci,0.18,365,0.94,0.13,0,0,0,0,0,1,0,3,3,5,5,0,0,0,58.0,Austin Ricci,9
Forge,25.0,lw,Christopher Lenroy Nanco,0.17,224,0.19,0.79,2,0,0,0,0,0,1,1,1,3,2,1,0,0,70.0,Chris Nanco,11
Valour,33.0,cf,Daryl Fordyce,0.15,164,1.51,0.0,1,0,0,0,0,3,0,0,0,3,3,0,1,1,62.0,Daryl Fordyce,16
Edmonton,19.0,lam,Marcus Velado-Tsegaye,0.15,230,0.41,0.0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,81.0,Marcus Velado-Tsegaye,17
York United,23.0,cf,Álvaro Rivero Sánchez,0.15,359,0.34,0.05,1,0,0,0,0,0,0,1,1,2,1,1,0,0,87.0,Álvaro Rivero,7
Valour,21.0,lb,Federico Peña,0.14,327,0.1,0.28,0,0,0,0,0,0,1,2,2,0,0,0,0,0,87.0,Federico Peña,77
Edmonton,32.0,cf,Tomi Ameobi,0.14,287,1.5,0.13,0,0,0,0,0,3,0,1,2,2,2,0,0,0,74.0,Tomi Ameobi,18
HFX Wanderers,26.0,cf,Ibrahima Sanoh,0.13,124,1.3,0.04,1,1,0,0,0,2,0,1,1,1,1,0,0,0,55.0,Ibrahima Sanoh,9
Cavalry,20.0,cf,José Hernández,0.12,102,0.03,0.44,0,0,0,0,0,0,1,2,2,0,0,0,0,0,82.0,Jose Hernandez,20
Forge,22.0,lw,Marcel Dominik Zajac,0.1,237,0.94,0.0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,80.0,Marcel Zajac,9
Cavalry,17.0,cam,Aribim Pepple,0.09,67,0.36,0.07,0,0,0,0,0,1,0,1,1,1,1,0,0,0,77.0,Aribim Pepple,24
York United,17.0,ss,Lowell Wright,0.09,128,0.8,0.0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,58.0,Lowell Wright,80
Cavalry,24.0,lw,Jair Ayrton Córdova Carpio,0.09,71,0.66,0.04,1,0,0,0,0,1,0,1,1,1,1,0,0,0,62.0,Jair Córdova,19
Forge,22.0,cf,Gabriel Wiethaeuper-Balbinotti,0.08,203,0.57,0.0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,61.0,Gabriel Balbinotti,20
Edmonton,19.0,ram,Prince Amanda,0.08,145,0.14,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,76.0,Prince Amanda,16
