team,name,Min,ExpG,ExpA,Goal,Off,PsOpHfFl,PsAtt,PsOnHfScs,PsOpHfScs,SucflDuels,Touches,DuelLs,DefTouch,Recovery,TchsA3,TchsM3,PsCmpM3,PsCmpA3,display
HFX Wanderers,Omar Kreim,11,0.0,0.0,0,0,0,2,1,1,0,5,1,1,0,1,4,2,0,Omar Kreim
Edmonton,Chance Carter,45,0.0,0.0,0,0,0,18,8,9,5,29,2,6,2,6,17,9,5,Chance Carter
Edmonton,Chance Carter,45,0.0,0.07,0,0,5,24,8,11,1,27,1,0,1,6,15,11,3,Chance Carter
Edmonton,Chance Carter,27,0.0,0.0,0,0,0,6,0,5,1,9,1,1,1,1,7,4,1,Chance Carter
Edmonton,Chance Carter,8,0.03,0.0,0,0,0,7,3,4,0,8,0,0,0,1,7,7,0,Chance Carter
Edmonton,Chance Carter,3,0.0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,Chance Carter
Edmonton,Chance Carter,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chance Carter
York9,Evan Couturier,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chance Carter
York9,Max Ferrari,49,0.15,0.0,0,2,1,11,2,8,2,23,9,4,4,16,3,2,7,Max Ferrari
York9,Max Ferrari,37,0.11,0.0,0,0,4,13,2,7,2,22,3,0,2,18,4,3,6,Max Ferrari
York9,Max Ferrari,32,0.0,0.0,0,0,1,12,4,6,3,19,4,0,1,7,10,7,3,Max Ferrari
York9,Max Ferrari,18,0.0,0.0,0,0,0,5,1,4,0,8,2,0,0,2,5,3,2,Max Ferrari
York9,Max Ferrari,10,0.0,0.0,0,0,0,4,0,3,1,7,3,1,0,1,3,2,1,Max Ferrari
York9,Max Ferrari,1,0.0,0.0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,Max Ferrari
Valour,Solomon Kojo Antwi,45,0.03,0.0,0,1,2,12,2,7,3,21,3,2,3,6,12,4,4,Solomon Kojo Antwi
Valour,Solomon Kojo Antwi,25,0.0,0.0,0,0,2,8,2,4,0,14,3,0,0,8,6,3,3,Solomon Kojo Antwi
Valour,Solomon Kojo Antwi,4,0.0,0.0,0,0,0,1,1,0,3,8,2,4,1,2,0,0,0,Solomon Kojo Antwi
Valour,Solomon Kojo Antwi,4,0.0,0.0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,Solomon Kojo Antwi
Valour,Solomon Kojo Antwi,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Solomon Kojo Antwi
Atlético Ottawa,Antoine Coupland,50,0.0,0.0,0,0,3,6,0,3,5,17,4,5,1,6,6,1,2,Antoine Coupland
Atlético Ottawa,Antoine Coupland,45,0.0,0.0,0,0,0,6,1,5,2,10,2,0,0,6,2,1,4,Antoine Coupland
Atlético Ottawa,Antoine Coupland,2,0.0,0.0,0,0,0,0,0,0,2,2,1,0,0,2,0,0,0,Antoine Coupland
Atlético Ottawa,Antoine Coupland,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antoine Coupland
Atlético Ottawa,Antoine Coupland,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antoine Coupland
Atlético Ottawa,Antoine Coupland,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antoine Coupland
York9,Chris Mannella,22,0.0,0.0,0,0,1,13,9,3,1,16,4,1,4,0,11,8,0,Chris Mannella
York9,Chris Mannella,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Mannella
York9,Michael Petrasso,37,0.08,0.0,0,1,0,9,2,7,3,15,1,0,0,9,6,4,5,Michael Petrasso
York9,Michael Petrasso,29,0.03,0.0,0,1,1,3,0,1,1,11,2,1,0,5,5,1,0,Michael Petrasso
York9,Michael Petrasso,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Petrasso
HFX Wanderers,Jan-Michael Williams,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Petrasso
York9,Isaiah Johnston,8,0.0,0.0,0,0,1,8,0,7,1,10,1,1,1,7,3,2,5,Isaiah Johnston
York9,Isaiah Johnston,9,0.0,0.0,0,0,1,1,0,0,1,3,0,1,1,1,1,0,0,Isaiah Johnston
York9,Isaiah Johnston,1,0.0,0.0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,Isaiah Johnston
York9,Isaiah Johnston,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Isaiah Johnston
York9,Isaiah Johnston,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Isaiah Johnston
York9,Isaiah Johnston,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Isaiah Johnston
Pacific,Josh Heard,18,0.06,0.0,0,0,0,3,0,3,0,9,4,0,0,8,1,0,3,Josh Heard
Pacific,Josh Heard,9,0.05,0.0,0,1,2,4,0,2,0,5,1,0,0,4,1,1,1,Josh Heard
Pacific,Josh Heard,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josh Heard
Pacific,Josh Heard,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josh Heard
Pacific,Josh Heard,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josh Heard
Pacific,Josh Heard,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Josh Heard
HFX Wanderers,Scott Firth,8,0.0,0.06,0,0,0,6,4,2,0,7,0,0,1,2,4,3,2,Scott Firth
HFX Wanderers,Scott Firth,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scott Firth
HFX Wanderers,Scott Firth,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scott Firth
HFX Wanderers,Scott Firth,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scott Firth
HFX Wanderers,Scott Firth,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Scott Firth
Atlético Ottawa,Michel Djaozandry,6,0.0,0.0,0,0,0,1,1,0,1,4,1,1,0,0,3,1,0,Michel Djaozandry
Atlético Ottawa,Michel Djaozandry,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michel Djaozandry
Atlético Ottawa,Michel Djaozandry,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michel Djaozandry
Atlético Ottawa,Michel Djaozandry,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michel Djaozandry
Atlético Ottawa,Michel Djaozandry,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michel Djaozandry
Atlético Ottawa,Michel Djaozandry,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michel Djaozandry
Atlético Ottawa,Matteo de Brienne,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matteo  de Brienne
Atlético Ottawa,Matteo de Brienne,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matteo  de Brienne
Atlético Ottawa,Matteo de Brienne,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matteo  de Brienne
Atlético Ottawa,Matteo de Brienne,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matteo  de Brienne
Atlético Ottawa,Matteo de Brienne,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matteo  de Brienne
Atlético Ottawa,Matteo de Brienne,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matteo  de Brienne
York9,Julian Altobelli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Julian Altobelli
York9,Julian Altobelli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Julian Altobelli
York9,Julian Altobelli,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Julian Altobelli
