team,name,number,position,minutes,goals,chances,assists,shots,s-target,passes,crosses,duels,tackles,overall,new_overall
Y9,Austin Ricci,7,f,90,0.0,1.8,0.5,2.7,0.0,33.6,2.3,20.5,2.3,0.09,0.9
PFC,Alessandro Hojabrpour,21,f,90,0.0,0.6,0.0,0.7,0.1,47.2,0.2,9.8,3.1,0.27,0.87
Y9,Stefan Lamanna,21,f,90,0.0,1.1,1.1,2.2,0.0,34.4,0.0,20.0,2.2,0.05,0.86
HFX,Mohamed Kourouma,12,f,90,0.0,2.0,0.1,3.1,0.8,31.8,7.1,11.9,2.5,0.77,0.83
FFC,Kadell Thomas,30,f,90,0.5,0.7,0.2,2.0,1.2,30.5,2.3,18.5,2.8,0.21,0.82
PFC,Jose Hernandez,15,f,90,0.1,0.8,0.3,2.6,1.0,26.7,0.6,22.2,3.1,0.26,0.8
CFC,Malyk Hamilton,21,f,90,0.0,0.6,0.1,0.4,0.1,42.5,1.8,8.6,2.3,0.22,0.79
PFC,Issey Nakajima-Farran,11,f,90,0.4,0.7,0.0,5.0,1.8,26.1,0.7,18.9,2.5,0.09,0.78
Y9,Rodrigo Gattas,22,f,90,0.4,1.1,0.0,3.5,1.7,33.4,1.7,9.8,0.8,0.7,0.72
CFC,Gabriel Bitar,19,f,90,0.0,2.0,0.0,5.0,4.0,16.0,3.0,17.0,3.0,0.03,0.68
CFC,Nico Pasquotti,17,f,90,0.2,1.2,0.1,1.6,0.8,22.2,3.0,18.2,2.3,0.73,0.68
CFC,Oluwatofarati Fakunle,25,f,90,0.0,0.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,0.68
HFX,Tomasz Skublak,17,f,90,0.1,1.3,0.1,2.4,0.8,26.0,0.3,17.8,1.2,0.28,0.68
FCE,Randy Edwini-Bonsu,11,f,90,0.0,2.5,0.2,2.2,1.5,20.5,5.5,14.8,1.8,0.15,0.67
FFC,Emery Welshman,14,f,90,0.3,1.4,0.2,2.9,0.9,26.2,0.8,14.1,1.6,0.33,0.66
FCE,Marcus Velado-Tsegaye,17,f,90,0.2,0.7,0.2,3.0,1.1,25.9,1.3,14.3,1.5,0.16,0.66
FCE,Oumar Diouck,45,f,90,0.3,1.4,0.1,2.0,0.7,26.5,2.4,12.2,1.6,0.6,0.64
VFC,Federico Peña,77,f,90,0.0,0.6,0.0,0.6,0.3,30.6,2.3,12.6,0.3,0.05,0.64
HFX,Vincent Lamy,14,f,90,0.0,0.0,0.0,2.0,0.0,24.0,0.0,18.0,3.0,0.01,0.64
CFC,Victor Loturi,13,f,90,0.0,0.0,0.0,1.3,0.0,32.7,0.0,8.7,4.0,0.02,0.63
FCE,David Doe,26,f,90,0.0,0.0,0.0,1.1,0.0,20.5,2.6,19.5,2.6,0.03,0.63
PFC,Marcus Haber,9,f,90,0.4,1.2,0.0,2.4,0.8,22.7,0.6,16.4,0.3,0.17,0.6
FFC,Christopher Nanco,13,f,90,0.3,1.3,0.1,1.8,0.8,23.9,1.4,13.1,1.2,0.42,0.59
FFC,Marcel Zajac,9,f,90,0.1,1.1,0.3,2.5,0.9,24.3,0.5,12.8,1.1,0.35,0.58
FCE,Tomi Ameobi,18,f,90,0.2,1.1,0.0,1.1,0.5,24.3,0.2,14.9,1.3,0.4,0.58
VFC,Stephen Hoyle,17,f,90,0.4,1.2,0.0,3.8,0.8,22.7,0.8,13.1,0.8,0.06,0.58
FFC,Anthony Novak,23,f,90,0.5,1.2,0.3,2.1,1.1,20.6,0.3,14.8,0.9,0.48,0.56
Y9,Simon Karlsson Adjei,12,f,90,0.4,1.3,0.1,3.4,1.0,21.6,0.3,13.3,0.9,0.47,0.56
PFC,Terran Campbell,14,f,90,0.4,1.2,0.1,2.0,0.9,22.0,1.1,12.5,1.5,0.8,0.55
CFC,Oliver Minatel,7,f,90,0.4,1.1,0.1,2.3,0.7,21.6,1.3,12.0,1.8,0.43,0.55
HFX,Luis Alberto Perea,10,f,90,0.3,1.1,0.1,1.6,1.0,26.7,0.4,8.8,0.9,0.26,0.54
FCE,Easton Ongaro,19,f,90,0.8,0.8,0.2,2.9,1.5,19.2,0.5,14.5,0.4,0.52,0.54
CFC,Jordan Brown,9,f,90,0.3,1.1,0.1,2.9,0.9,19.6,1.4,12.4,1.6,0.38,0.53
FCE,Prince Amanda,16,f,90,0.7,0.7,0.7,1.3,0.7,20.0,2.7,11.3,1.3,0.06,0.52
CFC,Dominique Malonga,19,f,90,0.5,0.9,0.0,3.3,1.6,23.5,0.2,8.9,0.1,0.64,0.51
FCE,Ajeej Sarkaria,9,f,90,0.0,0.3,0.2,1.0,0.3,23.2,0.2,9.2,2.1,0.12,0.47
Y9,Michael Cox,92,f,90,0.0,1.0,0.0,3.0,0.5,16.5,0.0,13.5,0.5,0.03,0.45
Y9,Cyrus Rollocks,17,f,90,0.0,1.2,0.0,1.9,0.0,13.8,2.2,14.4,0.9,0.05,0.44
VFC,Michele Paolucci,17,f,90,0.2,0.5,0.2,2.3,0.9,15.0,0.3,13.0,0.6,0.3,0.42
VFC,Tyler Attardo,16,f,90,0.5,0.6,0.0,2.3,1.0,13.9,0.9,12.0,1.1,0.25,0.41
CFC,Aribim Pepple,24,f,90,0.0,0.0,0.0,0.0,0.0,12.9,0.0,17.1,1.4,0.0,0.39
VFC,Calum Ferguson,12,f,90,0.3,0.0,0.0,2.1,0.8,15.8,0.3,9.5,1.1,0.06,0.37
