game,team,position,number,name,first,last,minutes,touches,passes,pass-acc,crosses,cross-acc,assists,chances,goals,shots,s-target,s-box,s-out-box,tackles,t-won,duels,d-won,clearances,interceptions,yellow,red,f-won,f-conceded,shots faced,saves,claimed crosses,cs
I1,Forge FC,m,1,Alexander Achinioti-Jönsson,Alexander,Achinioti-Jönsson,77.00,47.00,41.00,0.85,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,2.00,1.00,6.00,4.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I1,Forge FC,d,16,Bertrand Owundi,Bertrand,Owundi,77.00,69.00,56.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,4.00,3.00,5.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I1,Forge FC,f,13,Christopher Nanco,Christopher,Nanco,56.00,42.00,27.00,0.67,0.00,0.00,0.00,5.00,0.00,1.00,0.00,1.00,0.00,2.00,2.00,10.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I1,Forge FC,d,22,Dominic Samuel,Dominic,Samuel,90.00,59.00,48.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,7.00,5.00,5.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I1,Forge FC,m,6,Elimane Cissé,Elimane,Cissé,90.00,75.00,61.00,0.85,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,7.00,2.00,1.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I1,Forge FC,f,14,Emery Welshman,Emery,Welshman,90.00,51.00,21.00,0.62,2.00,0.50,1.00,2.00,0.00,6.00,1.00,6.00,0.00,3.00,2.00,13.00,10.00,0.00,1.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00
I1,Forge FC,m,7,Giuliano Frano,Giuliano,Frano,90.00,108.00,73.00,0.81,0.00,0.00,0.00,2.00,0.00,1.00,0.00,1.00,0.00,3.00,2.00,11.00,6.00,4.00,2.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
I1,Forge FC,d,8,Jonathan Grant,Jonathan,Grant,13.00,10.00,5.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I1,Forge FC,f,30,Kadell Thomas,Kadell,Thomas,34.00,32.00,19.00,0.90,3.00,0.00,0.00,0.00,1.00,2.00,2.00,1.00,1.00,1.00,0.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I1,Forge FC,d,2,Kwame Awuah,Kwame,Awuah,90.00,108.00,73.00,0.90,4.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,10.00,5.00,0.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I1,Forge FC,m,3,Kyle Bekker,Kyle,Bekker,90.00,63.00,44.00,0.82,4.00,0.25,0.00,3.00,0.00,4.00,0.00,3.00,1.00,2.00,1.00,9.00,4.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I1,Forge FC,f,9,Marcel Zajac,Marcel,Zajac,13.00,10.00,7.00,0.71,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I1,Forge FC,m,4,Tristan Borges,Tristan,Borges,90.00,78.00,43.00,0.74,6.00,0.00,0.00,1.00,0.00,3.00,2.00,1.00,2.00,1.00,1.00,17.00,8.00,0.00,1.00,0.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00
I1,Forge FC,g,9,Triston Henry,Triston,Henry,90.00,38.00,29.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00
I1,York9 FC,f,7,Austin Ricci,Austin,Ricci,23.00,19.00,8.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,9.00,6.00,0.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
I1,York9 FC,f,17,Cyrus Rollocks,Cyrus,Rollocks,90.00,35.00,11.00,0.36,4.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,1.00,0.00,0.00,10.00,2.00,0.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
I1,York9 FC,d,2,Daniel Gogarty,Daniel,Gogarty,90.00,66.00,51.00,0.71,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,6.00,4.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I1,York9 FC,d,20,Diyaeddine Abzi,Diyaeddine,Abzi,3.00,13.00,6.00,0.83,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I1,York9 FC,m,8,Joseph Di Chiara,Joseph,Di Chiara,87.00,51.00,28.00,0.75,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,5.00,4.00,8.00,7.00,2.00,7.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
I1,York9 FC,d,5,Justin Springer,Justin,Springer,90.00,48.00,19.00,0.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,9.00,7.00,6.00,2.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00
I1,York9 FC,m,19,Kyle Porter,Kyle,Porter,90.00,54.00,33.00,0.76,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,4.00,15.00,6.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I1,York9 FC,d,13,Luca Gasparotto,Luca,Gasparotto,90.00,29.00,19.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,7.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I1,York9 FC,m,10,Manuel Aparicio,Manuel,Aparicio,89.00,76.00,51.00,0.67,3.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,14.00,6.00,0.00,3.00,0.00,1.00,1.00,3.00,0.00,0.00,0.00,0.00
I1,York9 FC,g,1,Nathan Ingham,Nathan,Ingham,90.00,36.00,26.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,5.00,1.00,0.00
I1,York9 FC,f,22,Rodrigo Gattas,Rodrigo,Gattas,10.00,4.00,4.00,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I1,York9 FC,m,18,Ryan Telfer,Ryan,Telfer,90.00,53.00,25.00,0.60,1.00,0.00,0.00,0.00,1.00,3.00,1.00,1.00,2.00,3.00,2.00,14.00,6.00,2.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
I1,York9 FC,f,12,Simon Karlsson Adjei,Simon,Karlsson Adjei,80.00,22.00,16.00,0.88,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,8.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I1,York9 FC,m,23,Wataru Murofushi,Wataru,Murofushi,67.00,48.00,34.00,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
I2,Pacific FC,m,21,Ben Fisk,Ben,Fisk,90.00,53.00,35.00,0.69,6.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,1.00,0.00,0.00,8.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I2,Pacific FC,d,4,Blake Smith,Blake,Smith,90.00,72.00,50.00,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,3.00,1.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
I2,Pacific FC,d,16,Hendrik Starostzik,Hendrik,Starostzik,90.00,97.00,77.00,0.94,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,2.00,2.00,5.00,3.00,9.00,3.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
I2,Pacific FC,f,11,Issey Nakajima-Farran,Issey,Nakajima-Farran,34.00,19.00,10.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,3.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
I2,Pacific FC,f,15,Jose Hernandez,José,Hernández,18.00,10.00,6.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,4.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I2,Pacific FC,d,7,Kadin Chung,Kadin,Chung,90.00,66.00,45.00,0.93,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,3.00,9.00,5.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
I2,Pacific FC,d,14,Lukas MacNaughton,Lukas,MacNaughton,72.00,72.00,64.00,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,4.00,2.00,3.00,0.00,0.00,1.00,1.00,2.00,0.00,0.00,0.00,0.00
I2,Pacific FC,f,9,Marcus Haber,Marcus,Haber,90.00,38.00,21.00,0.62,2.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,18.00,8.00,0.00,1.00,0.00,0.00,2.00,4.00,0.00,0.00,0.00,0.00
