index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Cavalry FC,W A 2 - 1 Y9,W A 1 - 0 VFC,W A 1 - 2 FFC,W A 1 - 0 FCE,W A 2 - 0 HFX,W A 0 - 3 FCE,W A 1 - 2 HFX,L A 0 - 1 FFC,W A 0 - 2 Y9,L A 3 - 1 PFC,W A 2 - 3 PFC,W A 0 - 1 HFX,W A 1 - 0 Y9,D A 1 - 1 VFC,D A 0 - 0 HFX,D A 0 - 0 FCE,W A 3 - 1 Y9,L A 1 - 0 FFC,D A 1 - 1 PFC,W A 0 - 8 VFC,W A 0 - 1 FCE,W A 4 - 1 PFC,D A 1 - 1 Y9,W A 4 - 1 VFC,W A 2 - 0 HFX,W A 2 - 1 FFC,L A 1 - 0 FFC,W A 3 - 1 FCE
FC Edmonton,W A 1 - 2 VFC,D A 0 - 0 PFC,L A 1 - 0 CFC,L A 2 - 0 FFC,L A 0 - 1 VFC,L A 0 - 3 CFC,D A 0 - 0 Y9,W A 1 - 3 PFC,W A 1 - 0 FFC,W A 2 - 0 HFX,W A 1 - 2 FFC,L A 2 - 1 Y9,D A 0 - 0 VFC,D A 1 - 1 FFC,W A 2 - 0 HFX,W A 3 - 1 PFC,D A 0 - 0 CFC,L A 3 - 1 VFC,D A 2 - 2 Y9,D A 0 - 0 HFX,L A 0 - 1 CFC,L A 1 - 0 PFC,L A 1 - 3 Y9,D A 1 - 1 HFX,L A 0 - 1 FFC,L A 3 - 1 VFC,W A 3 - 1 PFC,L A 3 - 1 CFC
Forge FC,D A 1 - 1 Y9,L A 2 - 1 HFX,W A 3 - 0 PFC,L A 1 - 2 CFC,W A 0 - 2 VFC,W A 0 - 2 Y9,W A 2 - 0 FCE,W A 2 - 1 VFC,W A 0 - 1 CFC,L A 1 - 0 FCE,L A 1 - 2 FCE,W A 2 - 3 PFC,W A 2 - 0 HFX,W A 3 - 1 VFC,D A 1 - 1 FCE,W A 1 - 3 VFC,W A 1 - 0 CFC,D A 1 - 1 PFC,W A 2 - 1 Y9,W A 1 - 3 VFC,D A 2 - 2 HFX,D A 1 - 1 HFX,W A 3 - 0 PFC,W A 0 - 1 FCE,W A 1 - 0 Y9,L A 2 - 1 CFC,L A 4 - 0 Y9,W A 1 - 0 CFC
HFX Wanderers FC,L A 1 - 0 PFC,W A 2 - 1 FFC,L A 1 - 0 VFC,L A 2 - 0 CFC,D A 1 - 1 Y9,W A 2 - 1 PFC,L A 1 - 2 CFC,D A 0 - 0 Y9,W A 2 - 0 VFC,L A 2 - 0 FCE,W A 1 - 0 Y9,L A 0 - 1 CFC,L A 2 - 0 FFC,L A 3 - 1 PFC,L A 6 - 2 Y9,L A 2 - 0 FCE,W A 1 - 0 VFC,D A 0 - 0 CFC,L A 2 - 0 VFC,D A 0 - 0 FCE,D A 2 - 2 FFC,D A 1 - 1 FFC,D A 0 - 0 VFC,D A 1 - 1 FCE,D A 1 - 1 PFC,L A 2 - 0 CFC,D A 1 - 1 PFC,W A 0 - 2 Y9
Pacific FC,W A 1 - 0 HFX,L A 1 - 2 VFC,L A 3 - 0 FFC,D A 0 - 0 FCE,D A 2 - 2 Y9,L A 2 - 1 HFX,L A 1 - 0 Y9,W A 1 - 2 VFC,L A 1 - 3 FCE,W A 3 - 1 CFC,L A 2 - 3 CFC,L A 2 - 3 FFC,L A 2 - 1 Y9,W A 3 - 1 HFX,D A 2 - 2 VFC,L A 3 - 1 FCE,W A 0 - 2 Y9,W A 2 - 1 VFC,D A 1 - 1 CFC,D A 1 - 1 FFC,L A 0 - 2 Y9,W A 1 - 0 FCE,L A 4 - 1 CFC,L A 3 - 0 FFC,D A 1 - 1 HFX,D A 1 - 1 HFX,L A 3 - 1 FCE,W A 2 - 0 VFC
Valour FC,W A 1 - 2 PFC,L A 1 - 2 FCE,L A 1 - 0 CFC,W A 1 - 0 HFX,L A 0 - 2 FFC,W A 0 - 1 FCE,L A 2 - 1 FFC,L A 1 - 2 PFC,L A 2 - 0 HFX,L A 1 - 3 Y9,D A 0 - 0 FCE,L A 3 - 1 FFC,D A 1 - 1 CFC,D A 2 - 2 PFC,L A 1 - 0 HFX,W A 0 - 2 Y9,L A 1 - 3 FFC,W A 3 - 1 FCE,L A 2 - 1 PFC,W A 2 - 0 HFX,L A 0 - 8 CFC,L A 1 - 3 FFC,W A 2 - 4 Y9,D A 0 - 0 HFX,L A 4 - 1 CFC,W A 3 - 1 FCE,L A 0 - 4 Y9,L A 2 - 0 PFC
York9 FC,D A 1 - 1 FFC,L A 2 - 1 CFC,D A 2 - 2 PFC,L A 0 - 2 FFC,D A 1 - 1 HFX,W A 1 - 0 PFC,D A 0 - 0 FCE,D A 0 - 0 HFX,L A 0 - 2 CFC,W A 1 - 3 VFC,L A 1 - 0 HFX,W A 2 - 1 FCE,W A 2 - 1 PFC,L A 1 - 0 CFC,W A 6 - 2 HFX,L A 0 - 2 VFC,L A 0 - 2 PFC,L A 3 - 1 CFC,D A 2 - 2 FCE,L A 2 - 1 FFC,W A 0 - 2 PFC,L A 2 - 4 VFC,W A 1 - 3 FCE,D A 1 - 1 CFC,L A 1 - 0 FFC,W A 4 - 0 FFC,W A 0 - 4 VFC,L A 0 - 2 HFX
