rank,team,gp,pts,tpp,ppg,w,l,d,gd,gf,ga,gfh,gah,gfa,gaa
1,Forge FC,2,6,6,3.0,2,0,0,2,2,0,1,0,1,0
2,Cavalry FC,2,0,6,0.0,0,2,0,-2,0,2,0,1,0,1
