team,name,number,position,minutes,tackles,t-won,clearances,interceptions,duels,d-won,overall,new_overall
FFC,Klaidi Cela,16,d,3.6,0.8,0.3,0.8,0.6,0.8,0.9,0.15,0.9
HFX,Ndzemdzela Langwa,20,d,14.2,0.9,0.7,0.2,0.4,1.0,1.0,0.77,0.9
PFC,Marcel de Jong,8,d,0.6,1.0,1.0,0.5,0.0,0.6,0.8,0.02,0.83
VFC,Raphaël Garcia,2,d,10.5,1.0,0.7,0.3,0.4,0.7,0.7,0.45,0.8
PFC,Emile Legault,20,d,10.2,0.6,0.4,0.7,0.8,0.5,0.6,0.39,0.76
CFC,Dean Northover,12,d,6.8,0.6,0.4,0.2,0.9,0.7,0.7,0.25,0.73
HFX,Peter Schaale,2,d,17.0,0.5,0.3,1.0,0.6,0.5,0.6,0.62,0.73
HFX,André Bona,3,d,22.8,0.6,0.4,0.5,0.6,0.6,0.6,0.93,0.69
Y9,Diyaeddine Abzi,20,d,20.2,0.5,0.3,0.2,1.0,0.7,0.6,0.92,0.69
HFX,Duran Lee,16,d,7.5,0.7,0.6,0.5,0.5,0.5,0.5,0.28,0.69
FFC,Jonathan Grant,8,d,9.1,0.6,0.5,0.3,0.6,0.7,0.6,0.33,0.69
VFC,Martín Arguiñarena,6,d,17.0,0.6,0.4,0.2,0.8,0.6,0.6,0.71,0.66
FCE,Amer Didic,55,d,18.3,0.3,0.2,1.0,0.6,0.4,0.5,0.67,0.61
FCE,Mélé Temguia,8,d,27.0,0.4,0.3,0.5,0.8,0.5,0.5,0.96,0.61
CFC,Dominick Zator,4,d,25.9,0.3,0.2,0.5,0.8,0.5,0.6,0.92,0.59
FFC,Kwame Awuah,2,d,20.9,0.5,0.4,0.1,0.8,0.6,0.5,0.9,0.59
Y9,Luca Gasparotto,13,d,28.0,0.2,0.2,0.7,0.7,0.5,0.6,0.93,0.59
HFX,Chrisnovic N'sa,6,d,13.5,0.4,0.3,0.5,0.8,0.4,0.5,0.41,0.59
FFC,Oluwaseun Oyegunle,15,d,0.4,0.5,0.0,0.4,1.0,0.4,0.5,0.01,0.57
Y9,Steven Furlano,77,d,5.7,0.5,0.3,0.2,0.7,0.6,0.5,0.17,0.57
PFC,Kadin Chung,7,d,22.6,0.5,0.4,0.3,0.6,0.5,0.5,0.79,0.57
FCE,Kareem Moses,12,d,10.8,0.4,0.3,0.4,0.5,0.5,0.7,0.34,0.57
HFX,Matthew Arnone,23,d,23.3,0.2,0.2,0.7,0.8,0.4,0.4,0.67,0.54
FFC,Monti Mohsen,11,d,4.0,0.4,0.2,0.2,0.5,0.8,0.6,0.12,0.54
PFC,Ryan McCurdy,3,d,8.3,0.3,0.2,0.7,0.6,0.4,0.5,0.23,0.54
Y9,Justin Springer,5,d,10.5,0.4,0.2,0.8,0.4,0.4,0.5,0.29,0.54
CFC,Nathan Mavila,3,d,21.7,0.5,0.3,0.3,0.4,0.6,0.6,0.75,0.54
PFC,Hendrik Starostzik,16,d,12.9,0.2,0.2,0.9,0.8,0.3,0.3,0.36,0.54
VFC,Jordan Murrell,4,d,19.8,0.4,0.3,0.5,0.5,0.5,0.5,0.6,0.54
VFC,Skylar Thomas,3,d,21.0,0.3,0.2,0.8,0.4,0.5,0.5,0.73,0.54
Y9,Roger Thompson,6,d,8.9,0.2,0.1,0.8,0.7,0.4,0.4,0.23,0.52
PFC,Lukas MacNaughton,14,d,18.9,0.2,0.1,0.8,0.6,0.4,0.4,0.5,0.5
FFC,Dominic Samuel,22,d,22.7,0.3,0.2,0.5,0.5,0.5,0.5,0.74,0.5
HFX,Alex De Carolis,24,d,13.8,0.5,0.3,0.4,0.4,0.5,0.4,0.4,0.5
PFC,Blake Smith,4,d,22.3,0.3,0.2,0.4,0.8,0.4,0.4,0.69,0.5
VFC,Adam Mitter,15,d,16.8,0.2,0.2,0.5,0.7,0.4,0.4,0.41,0.47
FFC,Daniel Krutzen,10,d,26.5,0.3,0.2,0.5,0.6,0.4,0.4,0.71,0.47
FFC,Bertrand Owundi,16,d,19.5,0.2,0.1,0.8,0.5,0.4,0.3,0.48,0.45
FCE,Jeannot Esua,3,d,20.0,0.2,0.2,0.3,0.6,0.5,0.5,0.52,0.45
FCE,Allan Zebie,4,d,21.9,0.4,0.3,0.2,0.5,0.5,0.4,0.6,0.45
CFC,Jonathan Wheeldon,14,d,15.6,0.2,0.2,0.8,0.4,0.3,0.4,0.37,0.45
Y9,Morey Doner,3,d,25.0,0.3,0.2,0.2,0.5,0.5,0.5,0.86,0.42
VFC,Yohan Le Bourhis,25,d,8.0,0.3,0.2,0.8,0.2,0.4,0.3,0.21,0.42
Y9,Daniel Gogarty,2,d,17.2,0.3,0.2,0.4,0.5,0.3,0.3,0.41,0.38
FCE,Ramón Soria,5,d,22.3,0.3,0.2,0.2,0.6,0.3,0.3,0.62,0.35
HFX,Chakib Hocine,4,d,3.9,0.1,0.1,0.5,0.8,0.2,0.2,0.08,0.35
HFX,Zachary Sukunda,25,d,9.3,0.2,0.2,0.2,0.3,0.4,0.3,0.18,0.28
FFC,David Edgar,30,d,8.3,0.2,0.1,0.5,0.4,0.2,0.2,0.16,0.28
CFC,Mason Trafford,5,d,20.0,0.1,0.0,0.5,0.3,0.2,0.2,0.33,0.21
