team,name,number,position,minutes,cs,saves,shots faced,claimed crosses,overall,new_overall
Y9,Colm Vance,31,g,90,0.0,4.0,6.0,3.0,0.06,0.9
PFC,Nolan Wirth,6,g,90,0.1,4.9,6.9,0.5,0.45,0.85
CFC,Nikolas Giantsopoulos,22,g,90,0.4,4.2,5.0,0.2,0.18,0.65
VFC,Mathias Janssens,26,g,90,0.3,3.6,5.4,0.0,0.38,0.62
HFX,Jan-Michael Williams,21,g,90,0.2,3.5,5.2,0.4,0.36,0.62
Y9,Nathan Ingham,1,g,90,0.2,3.4,4.7,0.7,0.93,0.59
VFC,Tyson Farago,1,g,90,0.1,2.9,4.8,0.8,0.55,0.56
FFC,Quillan Roberts,17,g,90,0.5,3.4,4.5,0.2,0.29,0.56
FCE,Dylon Powley,13,g,90,0.2,3.3,4.8,0.3,0.18,0.56
PFC,Mark Village,1,g,90,0.2,2.9,4.3,0.6,0.54,0.52
FCE,Connor James,1,g,90,0.3,3.0,4.1,0.4,0.7,0.5
CFC,Marco Carducci,1,g,90,0.4,2.7,3.4,0.5,0.79,0.44
FFC,Triston Henry,9,g,90,0.4,2.5,3.3,0.6,0.71,0.42
HFX,Christian Oxner,50,g,90,0.3,2.5,3.4,0.6,0.54,0.42
Y9,Matt Silva,1,g,90,0.0,0.0,1.0,0.0,0.0,-0.0
