rank,team,gp,pts,tpp,ppg,w,l,d,gd,gf,ga,gfh,gah,gfa,gaa
1,Cavalry FC,28,62,84,2.21,19,4,5,4,37,33,37,33,0,0
2,Forge FC,28,56,84,2.0,17,6,5,11,41,30,41,30,0,0
3,York9 FC,28,34,84,1.21,9,12,7,-4,36,40,36,40,0,0
4,FC Edmonton,28,32,84,1.14,8,12,8,8,34,26,34,26,0,0
5,Pacific FC,28,31,84,1.11,8,13,7,15,48,33,48,33,0,0
6,Valour FC,28,28,84,1.0,8,16,4,-8,37,45,37,45,0,0
7,HFX Wanderers FC,28,28,84,1.0,6,12,10,22,39,17,39,17,0,0
