rank,team,change,goal_bonus,w_bonus,crest,colour
1,Cavalry FC,6,1,1,cavalry_fc_nav.png,w3-2019-fiesta
2,Forge FC,3,0,0,Forge_FC_nav.png,w3-2019-turmeric
3,York9 FC,3,0,1,York_9_FC_nav.png,w3-vivid-yellow-green
4,FC Edmonton,-3,-4,1,FC_Edmonton_nav.png,w3-2019-princess-blue
5,HFX Wanderers FC,3,2,1,HFX_Wanderers_FC.png,w3-vivid-blue
6,Valour FC,-11,-12,0,Valour_FC_nav.png,w3-2019-biking-red
7,Pacific FC,-3,-3,1,Pacific_FC_nav.png,w3-vivid-reddish-purple
