team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall
PFC,Victor Blasco,23,m,431,1,2,296,167,67.9,27,33.3,11,68,9,0.79
ATO,Francisco Javier Acuña Víctor,8,m,442,2,2,280,193,85.0,11,0.0,9,56,8,0.74
Y9,Joseph Di Chiara,8,m,450,3,0,332,242,78.0,7,50.0,4,66,12,0.73
CFC,Elijah Adekugbe,8,m,413,0,1,357,275,90.2,19,50.0,8,44,8,0.72
PFC,Marco Bustos,10,m,433,2,1,306,194,87.5,20,20.0,9,63,2,0.72
Y9,Ryan Telfer,18,m,530,0,0,271,134,71.4,41,37.5,11,72,8,0.71
PFC,Zachary Verhoven,16,m,180,1,1,202,108,63.6,14,100.0,11,54,10,0.68
Y9,Manuel Aparicio,10,m,440,2,0,307,219,66.7,7,0.0,9,63,12,0.67
FCE,Erik Zetterberg,21,m,450,0,0,312,248,84.4,10,100.0,8,38,7,0.67
FCE,Keven Steven Alemán Bustos,11,m,492,1,0,312,192,69.6,20,0.0,7,77,10,0.66
ATO,Malyk Hamilton,2,m,540,0,1,358,223,93.2,22,0.0,2,41,10,0.65
FFC,Paolo Sabak,24,m,416,1,2,285,216,84.4,6,0.0,7,55,2,0.65
HFX,Andre Rampersad,18,m,474,0,2,274,197,77.8,4,0.0,7,62,7,0.65
FFC,Kyle Bekker,10,m,395,2,0,300,228,80.6,21,0.0,8,42,4,0.63
Y9,Kyle Porter,19,m,372,1,1,193,128,97.1,24,33.3,8,29,3,0.61
PFC,Matthew Baldisimo,8,m,440,0,1,287,225,72.9,2,0.0,5,58,13,0.61
VFC,Brett Levis,17,m,319,0,1,239,157,76.7,7,100.0,4,40,7,0.6
FFC,David Choinière,7,m,218,1,1,155,84,100.0,12,100.0,3,46,5,0.59
CFC,Nikolas Ledgerwood,6,m,276,0,1,167,118,68.0,17,66.7,7,31,9,0.57
HFX,Louis Béland-Goyette,5,m,435,0,0,271,214,83.9,3,0.0,4,57,12,0.56
ATO,Ben Fisk,10,m,511,1,0,232,152,73.1,10,0.0,4,52,9,0.55
HFX,Aboubacar Sissoko,17,m,441,0,0,299,227,76.3,2,0.0,2,65,10,0.54
VFC,Raphael Ohin,27,m,461,0,0,327,263,84.2,0,0.0,4,41,7,0.54
VFC,Diego Gutiérrez,8,m,399,0,0,329,266,81.3,7,0.0,3,35,6,0.52
HFX,Cory Bent,23,m,337,1,0,161,88,60.0,19,30.0,6,51,6,0.52
VFC,Stefan Cebara,14,m,458,0,0,308,202,80.5,2,0.0,4,45,6,0.51
VFC,Fraser Aird,33,m,391,1,0,223,146,68.0,16,0.0,9,28,1,0.51
ATO,Víctor Martínez Manrique,5,m,450,1,0,247,174,72.4,2,0.0,0,49,7,0.49
FFC,Alexander Achinioti-Jönsson,13,m,369,1,0,261,213,78.9,1,0.0,2,34,6,0.49
