team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall
Y9,Joseph Di Chiara,8,m,450,3,0,332,242,78.0,7,50.0,4,66,12,0.8
Y9,Ryan Telfer,18,m,440,0,0,226,109,71.4,37,37.5,9,60,8,0.7
CFC,Elijah Adekugbe,8,m,323,0,1,281,215,90.2,13,50.0,7,38,7,0.69
HFX,Andre Rampersad,18,m,442,0,2,258,187,77.8,4,0.0,7,56,6,0.68
FCE,Erik Zetterberg,21,m,405,0,0,272,214,84.4,10,100.0,7,32,6,0.68
FCE,Keven Steven Alemán Bustos,11,m,426,1,0,272,163,69.6,18,0.0,6,69,8,0.66
PFC,Victor Blasco,23,m,252,1,1,203,116,67.9,18,33.3,7,45,6,0.63
ATO,Francisco Javier Acuña Víctor,8,m,263,2,2,166,119,85.0,5,0.0,6,36,5,0.62
CFC,Nikolas Ledgerwood,6,m,276,0,1,167,118,68.0,17,66.7,7,31,9,0.62
FFC,Paolo Sabak,24,m,326,1,1,236,176,84.4,5,0.0,5,51,2,0.59
FFC,Kyle Bekker,10,m,315,2,0,254,196,80.6,17,0.0,5,34,3,0.59
FFC,David Choinière,7,m,208,0,1,145,78,100.0,11,100.0,3,45,5,0.58
ATO,Malyk Hamilton,2,m,360,0,1,255,158,93.2,13,0.0,2,31,8,0.58
Y9,Kyle Porter,19,m,290,1,1,154,97,97.1,21,33.3,5,22,2,0.57
Y9,Manuel Aparicio,10,m,350,1,0,239,167,66.7,7,0.0,5,48,7,0.56
PFC,Marco Bustos,10,m,262,1,1,193,121,87.5,14,20.0,4,39,1,0.55
HFX,Louis Béland-Goyette,5,m,345,0,0,230,179,83.9,3,0.0,3,48,11,0.55
PFC,Zachary Verhoven,16,m,45,1,1,90,42,63.6,11,100.0,8,27,4,0.54
VFC,Diego Gutiérrez,8,m,354,0,0,286,227,81.3,7,0.0,2,32,6,0.53
VFC,Stefan Cebara,14,m,413,0,0,276,176,80.5,2,0.0,3,42,6,0.53
PFC,Matthew Baldisimo,8,m,260,0,1,188,144,72.9,2,0.0,2,41,11,0.52
VFC,Raphael Ohin,27,m,371,0,0,249,191,84.2,0,0.0,4,34,7,0.52
HFX,Aboubacar Sissoko,17,m,351,0,0,249,192,76.3,1,0.0,1,53,9,0.52
VFC,Brett Levis,17,m,229,0,1,155,102,76.7,3,100.0,2,26,4,0.52
FFC,Alexander Achinioti-Jönsson,13,m,337,1,0,245,200,78.9,1,0.0,2,31,5,0.51
FCE,Hanson Boakai,10,m,285,0,0,184,118,92.6,9,25.0,2,35,7,0.49
HFX,Cory Bent,23,m,279,0,0,135,71,60.0,17,30.0,4,47,6,0.48
VFC,Dylan Carreiro,10,m,254,1,0,133,82,81.8,12,0.0,5,24,4,0.46
VFC,Fraser Aird,33,m,301,1,0,156,104,68.0,9,0.0,7,22,1,0.46
HFX,Alex Marshall,7,m,248,0,1,114,60,66.7,8,0.0,3,46,3,0.44
CFC,Elliot Simmons,15,m,261,0,0,215,181,60.0,2,0.0,1,29,7,0.43
ATO,Ben Fisk,10,m,333,1,0,143,100,73.1,5,0.0,2,26,3,0.42
PFC,Jamar Dixon,22,m,159,1,0,105,75,75.0,0,0.0,2,33,9,0.41
FFC,Elimane Cissé,3,m,127,0,0,145,82,81.8,5,0.0,1,39,9,0.4
FCE,Antony Caceres,20,m,171,0,1,92,54,83.3,1,0.0,3,27,4,0.39
ATO,Ben McKendry,22,m,183,0,0,113,83,58.8,0,0.0,2,21,13,0.39
Y9,Wataru Murofushi,23,m,249,0,0,183,161,100.0,0,0.0,2,19,0,0.39
VFC,José Antonio Galán Pedrosa,21,m,130,1,0,116,93,91.3,1,0.0,1,17,5,0.37
ATO,Ajay Khabra,23,m,244,0,0,121,102,92.0,0,0.0,1,25,3,0.36
ATO,Víctor Martínez Manrique,5,m,270,0,0,143,99,72.4,1,0.0,0,28,4,0.36
CFC,Bruno Zebie,16,m,174,0,0,118,82,80.0,3,0.0,0,25,8,0.36
Y9,Max Ferrari,16,m,145,0,0,76,45,71.4,5,50.0,1,26,3,0.35
VFC,Dante Campbell,48,m,179,0,0,127,81,71.4,1,0.0,1,23,4,0.33
PFC,Alessandro Hojabrpour,21,m,183,0,0,83,62,79.2,0,0.0,1,16,6,0.32
CFC,Sergio Camargo,10,m,130,1,0,64,39,72.7,4,0.0,1,12,3,0.31
PFC,Noah Verhoeven,19,m,64,0,0,76,63,81.5,2,0.0,2,11,2,0.28
PFC,Sean Young,20,m,100,0,0,61,42,66.7,0,0.0,2,13,3,0.27
FCE,Yong-Chan Son,7,m,123,0,0,58,24,83.3,4,0.0,2,11,1,0.27
ATO,Antoine Coupland,11,m,95,0,0,27,12,100.0,0,0.0,0,13,4,0.26
VFC,Solomon Kojo Antwi,25,m,78,0,0,44,21,75.0,0,0.0,0,16,5,0.25
FCE,Chance Carter,14,m,83,0,0,45,38,100.0,0,0.0,1,4,1,0.25
HFX,Scott Firth,15,m,8,0,0,7,6,100.0,0,0.0,1,0,0,0.2
PFC,Josh Heard,11,m,18,0,0,10,5,100.0,0,0.0,0,4,0,0.2
Y9,Michael Petrasso,21,m,66,0,0,26,12,33.3,3,0.0,0,7,0,0.17
VFC,Moses Dyer,6,m,150,0,0,62,33,0.0,0,0.0,1,23,1,0.1
HFX,Omar Kreim,8,m,52,1,0,31,12,0.0,3,0.0,1,13,2,0.1
Y9,Isaiah Johnston,44,m,10,0,0,4,2,0.0,0,0.0,0,1,1,0.01
