team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall
CFC,Elijah Adekugbe,8,m,260,0,1,240,185,90.2,11,50.0,7,31,7,0.83
FFC,Kyle Bekker,10,m,270,2,0,221,169,80.6,16,0.0,5,29,2,0.72
CFC,Nikolas Ledgerwood,6,m,199,0,1,129,94,68.0,13,66.7,7,24,6,0.7
PFC,Zachary Verhoven,16,m,44,1,1,89,41,63.6,11,100.0,8,27,4,0.67
ATO,Malyk Hamilton,2,m,270,0,1,200,120,93.2,13,0.0,2,22,6,0.67
VFC,Brett Levis,17,m,229,0,1,155,102,76.7,3,100.0,2,26,4,0.65
FFC,David Choinière,7,m,140,0,1,113,63,100.0,7,100.0,2,35,4,0.65
FCE,Keven Steven Alemán Bustos,11,m,258,1,0,153,87,69.6,12,0.0,5,43,6,0.64
PFC,Victor Blasco,23,m,162,0,1,140,79,67.9,14,33.3,5,34,3,0.64
PFC,Marco Bustos,10,m,173,1,1,141,90,87.5,10,20.0,3,28,1,0.63
ATO,Francisco Javier Acuña Víctor,8,m,173,2,1,117,86,85.0,4,0.0,3,24,4,0.63
Y9,Joseph Di Chiara,8,m,270,1,0,153,101,78.0,6,50.0,3,39,3,0.62
Y9,Ryan Telfer,18,m,260,0,0,122,59,71.4,20,37.5,6,31,5,0.62
FFC,Paolo Sabak,24,m,236,1,0,192,141,84.4,5,0.0,3,40,2,0.59
HFX,Louis Béland-Goyette,5,m,243,0,0,180,139,83.9,3,0.0,2,40,8,0.57
HFX,Cory Bent,23,m,246,0,0,110,59,60.0,14,30.0,4,41,6,0.57
FCE,Erik Zetterberg,21,m,225,0,0,130,97,84.4,5,100.0,5,16,1,0.56
HFX,Aboubacar Sissoko,17,m,260,0,0,197,150,76.3,1,0.0,0,43,8,0.55
HFX,Andre Rampersad,18,m,270,0,0,146,100,77.8,4,0.0,5,35,2,0.52
FFC,Alexander Achinioti-Jönsson,13,m,269,0,0,208,170,78.9,1,0.0,2,24,2,0.51
VFC,Fraser Aird,33,m,215,1,0,125,81,68.0,9,0.0,5,15,1,0.5
PFC,Matthew Baldisimo,8,m,170,0,0,136,106,72.9,2,0.0,1,32,10,0.48
VFC,Diego Gutiérrez,8,m,198,0,0,161,127,81.3,4,0.0,2,20,5,0.48
FCE,Hanson Boakai,10,m,150,0,0,102,60,92.6,7,25.0,1,23,5,0.45
VFC,Raphael Ohin,27,m,225,0,0,152,122,84.2,0,0.0,2,14,4,0.45
VFC,Stefan Cebara,14,m,233,0,0,157,109,80.5,1,0.0,2,19,2,0.44
Y9,Kyle Porter,19,m,156,0,0,85,50,97.1,10,33.3,3,11,1,0.43
ATO,Ben Fisk,10,m,243,0,0,108,80,73.1,4,0.0,2,20,3,0.43
ATO,Ben McKendry,22,m,157,0,0,98,71,58.8,0,0.0,2,18,13,0.43
Y9,Wataru Murofushi,23,m,203,0,0,129,113,100.0,0,0.0,2,14,0,0.41
CFC,Elliot Simmons,15,m,171,0,0,145,128,60.0,2,0.0,1,17,4,0.41
PFC,Jamar Dixon,22,m,98,1,0,73,52,75.0,0,0.0,2,21,6,0.4
Y9,Manuel Aparicio,10,m,171,0,0,114,83,66.7,5,0.0,2,18,3,0.4
ATO,Ajay Khabra,23,m,180,0,0,97,79,92.0,0,0.0,1,20,3,0.39
CFC,Bruno Zebie,16,m,161,0,0,105,78,80.0,2,0.0,0,18,5,0.38
HFX,Alex Marshall,7,m,90,0,1,48,28,66.7,2,0.0,1,17,1,0.37
FFC,Elimane Cissé,3,m,37,0,0,94,51,81.8,3,0.0,1,25,7,0.37
CFC,Sergio Camargo,10,m,130,1,0,64,39,72.7,4,0.0,1,12,3,0.37
Y9,Max Ferrari,16,m,95,0,0,50,29,71.4,4,50.0,1,17,3,0.36
PFC,Alessandro Hojabrpour,21,m,154,0,0,65,49,79.2,0,0.0,1,15,5,0.35
VFC,Dylan Carreiro,10,m,119,1,0,45,27,81.8,2,0.0,1,11,2,0.34
FCE,Antony Caceres,20,m,38,0,1,24,13,83.3,0,0.0,1,8,2,0.33
FCE,Yong-Chan Son,7,m,123,0,0,58,24,83.3,4,0.0,2,11,1,0.32
PFC,Noah Verhoeven,19,m,64,0,0,76,63,81.5,2,0.0,2,11,2,0.32
ATO,Víctor Martínez Manrique,5,m,180,0,0,84,63,72.4,1,0.0,0,13,0,0.32
ATO,Antoine Coupland,11,m,95,0,0,27,12,100.0,0,0.0,0,13,4,0.29
VFC,José Antonio Galán Pedrosa,21,m,23,1,0,26,23,91.3,0,0.0,1,3,1,0.28
FCE,Chance Carter,14,m,75,0,0,37,31,100.0,0,0.0,1,4,1,0.27
VFC,Dante Campbell,48,m,85,0,0,40,28,71.4,0,0.0,0,11,2,0.25
VFC,Solomon Kojo Antwi,25,m,29,0,0,22,9,75.0,0,0.0,0,8,3,0.22
PFC,Sean Young,20,m,10,0,0,22,12,66.7,0,0.0,1,7,2,0.21
PFC,Josh Heard,11,m,18,0,0,10,5,100.0,0,0.0,0,4,0,0.21
Y9,Michael Petrasso,21,m,66,0,0,26,12,33.3,3,0.0,0,7,0,0.19
VFC,Moses Dyer,6,m,143,0,0,57,29,0.0,0,0.0,1,21,1,0.14
HFX,Omar Kreim,8,m,30,0,0,16,8,0.0,0,0.0,0,8,2,0.05
Y9,Isaiah Johnston,44,m,9,0,0,3,1,0.0,0,0.0,0,1,1,0.01
