team,name,number,position,minutes,goals,tackles,t-won,clearances,interceptions,duels,d-won,overall
PFC,Kadin Chung,7,d,180,0,6,4,4,1,27,20,0.68
Y9,Diyaeddine Abzi,20,d,174,0,5,3,6,6,20,12,0.65
Y9,Roger Thompson,6,d,180,0,3,2,10,6,14,9,0.58
Y9,Luca Gasparotto,13,d,180,0,2,1,12,6,14,12,0.56
CFC,Dominick Zator,4,d,180,1,2,1,3,0,17,14,0.52
PFC,Lukas MacNaughton,6,d,180,1,1,0,5,1,15,8,0.46
PFC,Jordan Haynes,3,d,109,0,5,2,2,4,14,8,0.44
ATO,Milovan Kapor,3,d,90,0,2,2,7,6,10,4,0.41
CFC,Nathan Mavila,3,d,90,1,1,1,0,1,13,7,0.36
FFC,Daniel Krutzen,5,d,90,0,2,2,4,3,13,6,0.35
FFC,David Edgar,30,d,90,0,3,2,5,3,5,4,0.34
Y9,Morey Doner,3,d,180,0,0,0,2,7,8,5,0.33
HFX,Peter Schaale,2,d,90,0,3,2,5,2,6,4,0.32
FFC,Kwame Awuah,6,d,90,0,2,1,5,2,10,5,0.3
PFC,Thomas Meilleur-Giguère,26,d,180,0,0,0,5,5,6,2,0.3
HFX,Jake Ruby,20,d,90,0,2,2,2,0,12,4,0.26
CFC,Robert Boskovic,25,d,90,0,2,1,2,2,7,6,0.26
CFC,Mason Trafford,5,d,180,0,0,0,4,2,5,4,0.25
CFC,Mohamed Farsi,21,d,100,0,1,1,2,2,7,4,0.23
VFC,Andrew Jean-Baptiste,35,d,90,0,0,0,5,2,10,4,0.22
HFX,Jems Geffrard,3,d,90,0,1,1,4,2,3,2,0.21
CFC,Jonathan Wheeldon,14,d,90,0,0,0,8,0,9,4,0.21
VFC,Arnold Bouka Moutou,29,d,65,0,2,1,0,1,10,5,0.21
VFC,Julian Dunn-Johnson,5,d,90,0,1,0,4,0,9,6,0.2
CFC,Dean Northover,12,d,90,0,0,0,1,2,8,6,0.18
HFX,Alex De Carolis,24,d,81,0,1,1,0,1,5,5,0.18
FFC,Jonathan Grant,2,d,78,0,0,0,5,0,10,2,0.16
Y9,Matthew Arnone,17,d,62,0,1,1,1,2,3,2,0.16
PFC,Marcel de Jong,17,d,78,0,0,0,3,2,4,0,0.13
ATO,Evan Brandon John,4,d,90,0,1,0,2,0,2,2,0.12
ATO,Jarred Phillips,14,d,36,0,1,1,1,0,4,1,0.11
ATO,Vashon Neufville,44,d,50,0,0,0,0,0,6,1,0.06
FFC,Dominic Samuel,4,d,12,0,1,0,0,0,2,2,0.05
Y9,Ijah Halley,14,d,6,0,0,0,0,0,5,2,0.03
FFC,Maxim Tissot,15,d,10,0,0,0,1,0,2,0,0.02
HFX,Mateo Restrepo,14,d,9,0,0,0,0,0,0,0,0.0
