team,name,number,position,minutes,goals,assists,touches,passes,pass-acc,crosses,cross-acc,chances,duels,tackles,overall
CFC,Nikolas Ledgerwood,6,m,180,0,1,114,83,68.0,13,66.7,7,22,5,0.75
PFC,Victor Blasco,23,m,162,0,1,115,65,67.9,12,33.3,5,29,3,0.68
FFC,Kyle Bekker,10,m,270,1,0,166,129,80.6,12,0.0,1,24,2,0.68
FFC,David Choinière,7,m,140,0,1,88,48,100.0,5,100.0,2,28,4,0.66
PFC,Marco Bustos,10,m,173,1,1,101,63,87.5,9,20.0,2,18,0,0.65
VFC,Brett Levis,17,m,180,0,1,119,77,76.7,3,100.0,2,20,3,0.63
FFC,Paolo Sabak,24,m,236,1,0,161,120,84.4,4,0.0,2,31,1,0.63
CFC,Elijah Adekugbe,8,m,170,0,0,148,116,90.2,7,50.0,5,15,6,0.62
Y9,Joseph Di Chiara,8,m,180,1,0,104,67,78.0,5,50.0,2,27,3,0.61
HFX,Cory Bent,23,m,176,0,0,89,50,60.0,11,30.0,4,33,5,0.57
PFC,Zachary Verhoven,16,m,44,1,1,37,17,63.6,4,100.0,2,11,1,0.56
FFC,Alexander Achinioti-Jönsson,13,m,269,0,0,200,164,78.9,1,0.0,2,23,2,0.55
FCE,Erik Zetterberg,21,m,180,0,0,99,71,84.4,4,100.0,4,14,1,0.54
VFC,Fraser Aird,33,m,157,1,0,98,65,68.0,7,0.0,4,13,1,0.53
Y9,Ryan Telfer,18,m,170,0,0,74,32,71.4,10,37.5,4,21,4,0.52
ATO,Malyk Hamilton,2,m,180,0,0,130,76,93.2,10,0.0,1,14,4,0.5
PFC,Matthew Baldisimo,8,m,170,0,0,107,86,72.9,0,0.0,1,25,10,0.49
HFX,Louis Béland-Goyette,5,m,153,0,0,104,77,83.9,2,0.0,2,25,5,0.47
HFX,Aboubacar Sissoko,17,m,170,0,0,119,88,76.3,1,0.0,0,32,6,0.47
Y9,Kyle Porter,19,m,151,0,0,78,46,97.1,10,33.3,3,8,1,0.47
CFC,Sergio Camargo,10,m,130,1,0,64,39,72.7,4,0.0,1,12,3,0.45
FCE,Keven Steven Alemán Bustos,11,m,168,0,0,81,42,69.6,5,0.0,3,24,3,0.44
ATO,Francisco Javier Acuña Víctor,8,m,99,0,1,63,48,85.0,1,0.0,1,14,2,0.43
FCE,Hanson Boakai,10,m,122,0,0,62,34,92.6,5,25.0,0,18,4,0.41
HFX,Andre Rampersad,18,m,180,0,0,101,69,77.8,0,0.0,2,22,1,0.41
VFC,Stefan Cebara,14,m,156,0,0,122,85,80.5,1,0.0,1,14,2,0.4
CFC,Elliot Simmons,15,m,126,0,0,115,103,60.0,2,0.0,1,13,3,0.39
ATO,Ben McKendry,22,m,117,0,0,76,54,58.8,0,0.0,1,12,9,0.38
VFC,Diego Gutiérrez,8,m,108,0,0,90,72,81.3,3,0.0,2,12,2,0.38
ATO,Ben Fisk,10,m,153,0,0,68,45,73.1,4,0.0,2,12,2,0.37
HFX,Alex Marshall,7,m,63,0,1,33,18,66.7,2,0.0,1,11,1,0.36
PFC,Alessandro Hojabrpour,21,m,154,0,0,59,46,79.2,0,0.0,1,13,4,0.36
VFC,Dylan Carreiro,10,m,87,1,0,30,20,81.8,1,0.0,1,5,1,0.36
VFC,Raphael Ohin,27,m,135,0,0,88,71,84.2,0,0.0,0,10,3,0.35
ATO,Víctor Martínez Manrique,5,m,180,0,0,84,63,72.4,1,0.0,0,13,0,0.34
VFC,José Antonio Galán Pedrosa,21,m,23,1,0,26,23,91.3,0,0.0,1,3,1,0.33
Y9,Wataru Murofushi,23,m,118,0,0,80,68,100.0,0,0.0,0,9,0,0.32
Y9,Max Ferrari,16,m,46,0,0,27,18,71.4,4,50.0,1,6,1,0.31
CFC,Bruno Zebie,16,m,90,0,0,63,45,80.0,1,0.0,0,10,3,0.31
PFC,Jamar Dixon,22,m,98,0,0,36,24,75.0,0,0.0,1,9,3,0.29
Y9,Manuel Aparicio,10,m,81,0,0,42,27,66.7,2,0.0,1,8,0,0.27
ATO,Ajay Khabra,23,m,90,0,0,38,31,92.0,0,0.0,0,7,0,0.26
FCE,Yong-Chan Son,7,m,61,0,0,27,12,83.3,1,0.0,1,6,0,0.25
VFC,Dante Campbell,48,m,72,0,0,28,21,71.4,0,0.0,0,9,2,0.25
VFC,Solomon Kojo Antwi,25,m,29,0,0,22,9,75.0,0,0.0,0,8,3,0.24
PFC,Noah Verhoeven,19,m,64,0,0,30,27,81.5,1,0.0,0,2,0,0.23
FFC,Elimane Cissé,3,m,37,0,0,37,23,81.8,1,0.0,0,5,0,0.23
FCE,Antony Caceres,20,m,25,0,0,16,8,83.3,0,0.0,0,6,2,0.23
ATO,Antoine Coupland,11,m,45,0,0,10,6,100.0,0,0.0,0,4,0,0.22
FCE,Chance Carter,14,m,30,0,0,10,7,100.0,0,0.0,0,2,1,0.22
PFC,Josh Heard,11,m,18,0,0,10,5,100.0,0,0.0,0,4,0,0.21
PFC,Sean Young,20,m,10,0,0,8,3,66.7,0,0.0,0,3,1,0.18
Y9,Michael Petrasso,21,m,29,0,0,11,3,33.3,1,0.0,0,3,0,0.16
VFC,Moses Dyer,6,m,85,0,0,34,16,0.0,0,0.0,0,13,1,0.09
HFX,Omar Kreim,8,m,10,0,0,6,1,0.0,0,0.0,0,5,2,0.03
Y9,Isaiah Johnston,44,m,9,0,0,3,1,0.0,0,0.0,0,1,1,0.01
