Rank,GM,optaTeamId,team,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
11,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,2,2,0,1,1,2,1,0,0,0,0,1,0,1,1,1,1,0,0,1,1,79,16,553,192,266,0.89,1,1,0.66,1,1,1,2,3,15,4,0,39,3,0,0,751,67,6,15,15,49,72.40%,11,4,62,4,3,3,4,1,4,4,0,0,0,0,0,0,1,1,0,0,2,0,0,2,1,0,0,2,1,1,0,0,0,1,0,0,0,1,0,2,19,207,181,363,21,35.60%,82.80%,261,88,109,132,306,0,19,8,23.10%,26,0.85,HFX vs FOR,2019-09-18,584qg6tkjgokrqfqet8v0uulm,15376,c2pdzdl3dgf5b0siidn2ay5ii:1052436,HFX vs FOR (2019-09-18)
12,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,8,6,2,6,2,5,3,1,0,3,0,0,0,0,0,1,2,0,0,7,3,59,14,539,281,185,3.52,0,0,1.99,5,3,3,11,14,29,8,3,53,10,1,0,750,57,4,9,8,28,68.40%,6,3,58,6,1,7,5,1,7,4,0,0,1,0,0,0,2,0,2,1,3,0,0,2,2,0,0,3,2,1,0,1,0,0,1,0,0,1,2,6,4,184,183,383,41,28.20%,86.50%,288,49,129,142,328,0,17.8,6,51.40%,35,1.25,YK9 vs VAL,2019-08-10,55ug6j26bfssigo14xk3zl9ii,15378,cqthcpums3aas2tdy0qhlkuwa:1052430,YK9 vs VAL (2019-08-10)
12,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,3,3,0,3,0,6,3,0,0,0,0,2,0,2,1,1,1,0,1,1,6,55,23,537,309,150,1.42,2,2,1.29,2,2,3,6,9,24,2,1,47,10,0,0,750,56,6,10,14,43,64.00%,12,4,44,3,1,9,2,3,6,0,1,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,4,1,3,0,1,1,2,0,0,0,1,0,2,14,168,252,330,28,35.00%,85.50%,241,58,160,192,268,0,20,9,55.00%,20,0.51,CAV vs HFX,2019-05-25,4plypjjzuotlfysr9ym3f8woa,15376,41ewt71n8fqwy6trsqta1bjvu:1052390,CAV vs HFX (2019-05-25)
14,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,1,5,3,2,2,0,5,3,1,1,0,0,3,0,2,0,1,0,2,1,3,6,41,14,582,275,252,2,3,2,1.18,3,2,2,8,10,16,0,0,47,9,0,0,749,46,4,5,11,31,69.20%,11,7,51,5,0,7,5,2,12,1,0,0,0,0,0,0,1,1,0,1,2,0,0,0,2,0,0,2,1,1,1,1,0,0,0,0,0,1,1,2,17,185,186,378,25,28.20%,90.50%,302,93,132,146,331,0,20.2,4,57.90%,19,1.24,VAL vs FOR,2019-09-13,5dgq85s1yv24xf4gel3wk02ui,15378,c2pdzdl3dgf5b0siidn2ay5ii:1052450,VAL vs FOR (2019-09-13)
15,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,0,2,1,1,1,1,8,2,0,0,0,0,0,0,0,0,3,0,0,0,4,3,62,26,510,253,169,1.04,0,0,0.96,2,2,3,7,10,23,2,2,78,16,0,0,748,74,11,19,24,66,63.80%,12,7,78,2,3,6,1,5,8,1,0,0,0,0,0,0,3,3,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,22,131,217,400,19,33.90%,82.70%,257,46,119,148,301,0,16.5,17,51.40%,37,1.62,FOR vs PAC,2019-05-08,4l9f4xu6zpjpzyxu1pzemvd62,15377,b3436h8h14zw7f1uv6w9vqf6y:1052381,FOR vs PAC (2019-05-08)
16,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,3,2,1,0,1,4,1,0,0,0,0,1,0,1,0,0,0,1,0,3,4,69,27,494,214,184,0.8,1,1,0.8,1,1,0,8,8,31,3,1,79,15,1,1,739,63,5,21,12,50,83.90%,10,4,59,6,2,9,2,2,12,4,0,0,0,0,1,1,2,2,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,3,10,15,159,186,394,24,36.20%,80.60%,236,56,106,129,296,0,18.2,5,57.90%,38,1.52,FOR vs CAV,2019-05-12,4m1cw8f5lec9czmckqvw6rwbu,15381,c2pdzdl3dgf5b0siidn2ay5ii:1052384,FOR vs CAV (2019-05-12)
17,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,1,1,0,0,3,6,2,0,0,0,0,1,0,1,0,1,0,1,0,3,3,63,21,547,257,206,0.84,1,1,0.81,1,1,1,8,9,18,0,0,46,14,0,0,734,62,4,14,11,49,47.40%,19,7,52,3,1,8,1,3,2,3,0,0,0,0,0,0,2,1,1,0,5,0,0,4,1,0,0,5,3,2,0,1,0,4,0,0,0,2,0,4,11,128,255,351,14,31.30%,84.60%,248,57,158,186,289,0,17.6,20,32.00%,25,1.04,YK9 vs PAC,2019-07-17,51pa1nt9iwnwq8tabekwbu2cq,15382,b3436h8h14zw7f1uv6w9vqf6y:1052416,YK9 vs PAC (2019-07-17)
18,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,3,2,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,1,0,3,2,70,19,534,301,144,0.42,1,1,0.36,0,0,0,7,7,23,1,1,61,12,1,1,730,62,12,13,13,51,64.10%,12,5,56,3,4,8,1,2,9,3,0,0,0,0,0,0,2,1,1,0,2,0,0,1,1,0,0,2,1,1,0,1,0,0,1,0,0,1,3,6,11,131,288,311,12,30.70%,83.30%,201,41,203,228,243,1,19.9,14,46.40%,28,1.68,HFX vs PAC,2019-06-01,4r43ebcbfop9iq513hqre6gdm,15376,b3436h8h14zw7f1uv6w9vqf6y:1052394,HFX vs PAC (2019-06-01)
19,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,5,4,1,0,0,8,2,0,0,1,0,1,0,0,1,2,2,0,0,7,2,70,12,488,197,209,3.06,2,1,2.97,6,6,4,7,11,27,5,3,65,11,3,2,719,65,10,16,14,48,74.30%,8,5,53,10,3,5,6,1,8,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,18,216,133,370,34,35.20%,83.20%,256,69,81,95,295,1,17.8,9,60.90%,23,0.25,FOR vs VAL,2019-06-15,4t5rc4kgrbfy8qpv5lrlignsa,15378,c2pdzdl3dgf5b0siidn2ay5ii:1052398,FOR vs VAL (2019-06-15)
20,1,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,7,6,1,2,5,6,2,1,1,0,0,1,0,0,0,2,0,0,1,3,8,81,11,507,153,262,2.85,1,0,1.43,4,2,1,14,15,12,0,0,52,8,0,0,718,72,4,11,12,43,62.50%,13,7,59,5,3,10,2,4,8,0,0,0,0,1,0,2,2,2,0,1,2,0,0,2,0,0,0,2,0,2,0,0,0,1,1,0,0,1,2,2,25,238,144,336,33,39.30%,81.90%,225,116,74,90,273,0,16.4,9,50.00%,34,1.79,VAL vs EDM,2019-05-04,4l0lq4d7znz1rqsq02s2sk9re,6925,dd2vf0yzjm7jm7cak9tf11sa2:1052380,VAL vs EDM (2019-05-04)
20,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,9,8,1,3,3,3,0,0,0,0,0,2,0,0,2,0,2,0,0,4,6,95,15,502,204,188,2.76,2,1,1.29,5,3,3,7,10,16,3,1,61,10,0,0,718,51,8,15,17,51,82.10%,7,3,71,6,2,7,0,5,9,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,3,1,2,15,185,141,392,21,37.50%,78.10%,257,62,73,96,317,0,18.5,5,53.60%,28,1.17,CAV vs YK9,2019-05-04,4kj2hnlgvv3ncwouftn614siy,15382,41ewt71n8fqwy6trsqta1bjvu:1052379,CAV vs YK9 (2019-05-04)
22,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,6,4,2,3,2,9,5,0,0,1,0,2,0,2,1,2,2,0,1,4,7,77,33,491,204,177,1.7,2,2,1.49,3,3,5,10,15,16,3,0,63,7,0,0,717,53,4,13,15,42,73.90%,10,6,41,5,0,4,5,1,6,2,0,0,0,0,0,0,4,3,1,0,4,0,2,0,2,1,0,3,1,3,0,2,0,1,1,0,0,2,2,4,15,215,215,287,38,35.80%,77.60%,182,79,120,156,230,0,21.3,6,62.20%,45,1.46,YK9 vs VAL,2019-09-15,5e6552cfhize1wrtn1985u6p6,15378,cqthcpums3aas2tdy0qhlkuwa:1052453,YK9 vs VAL (2019-09-15)
23,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,4,1,2,1,9,6,0,0,0,0,0,0,0,0,0,2,0,0,5,7,69,20,477,232,156,0.77,0,0,0.58,0,0,2,11,13,19,2,1,58,14,0,0,716,60,8,6,12,43,60.90%,16,8,68,1,1,3,0,2,11,1,1,1,0,1,0,2,0,0,0,0,3,1,0,1,2,0,0,2,1,2,1,1,0,1,0,0,0,1,1,4,24,160,217,339,26,36.50%,81.30%,206,48,134,161,248,0,19.1,9,47.40%,38,0.85,YK9 vs EDM,2019-06-19,4u47motvg0trb2dkt4bpnbsyy,6925,cqthcpums3aas2tdy0qhlkuwa:1052400,YK9 vs EDM (2019-06-19)
24,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,3,1,2,0,2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,2,7,85,15,517,181,236,0.86,0,0,0.55,1,1,1,5,6,15,1,0,46,7,0,0,714,55,7,6,7,32,92.90%,11,7,46,3,5,3,4,4,7,2,0,0,0,0,1,2,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2,15,221,121,372,17,33.50%,80.70%,239,110,68,83,301,0,18.1,1,34.40%,32,0.55,EDM vs FOR,2019-06-27,4xcxod07s7mr6wtsej0ymo60a,6925,c2pdzdl3dgf5b0siidn2ay5ii:1052406,EDM vs FOR (2019-06-27)
25,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,4,1,3,2,9,4,0,0,0,0,0,0,0,0,2,2,0,0,4,6,89,21,487,202,175,2.57,0,0,1.58,6,3,7,6,13,30,1,1,72,22,1,0,713,47,6,14,11,45,83.30%,14,7,57,3,1,9,3,0,8,2,0,0,0,0,0,3,2,1,1,0,4,0,0,0,3,1,0,3,3,1,1,3,0,0,1,0,0,2,1,0,10,192,206,315,33,32.90%,77.40%,194,71,112,144,246,0,21.3,4,55.90%,34,0.99,YK9 vs HFX,2019-10-19,5oyl3jwgr2padsvpkvdc24ay2,15376,cqthcpums3aas2tdy0qhlkuwa:1052472,YK9 vs HFX (2019-10-19)
25,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,1,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,49,18,537,271,199,0.66,0,0,0.54,0,0,1,4,5,13,3,1,39,5,1,0,713,45,4,8,10,51,60.00%,27,14,42,4,3,5,2,3,3,3,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,1,1,0,0,1,1,0,0,0,1,0,4,10,146,249,318,16,30.40%,87.50%,243,71,156,171,285,0,17.1,8,60.00%,25,0.54,EDM vs PAC,2019-05-12,4nd4fza6mmhp87jrctliuzz3e,6925,b3436h8h14zw7f1uv6w9vqf6y:1052385,EDM vs PAC (2019-05-12)
27,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,4,4,0,1,2,3,2,0,0,1,0,1,0,1,0,0,0,0,1,2,5,85,31,469,175,178,0.8,1,1,0.73,2,1,2,7,9,16,0,0,48,4,1,0,712,68,6,16,15,65,64.70%,24,13,77,7,4,5,1,6,7,2,0,0,0,0,0,0,2,2,0,0,3,0,0,2,2,0,0,3,1,2,0,1,0,0,1,0,0,1,3,4,14,172,247,293,20,40.70%,75.30%,176,63,114,165,218,0,18.7,12,32.00%,25,1.64,HFX vs FOR,2019-05-04,4jopa68wp2k7cntkj4s506hka,15376,c2pdzdl3dgf5b0siidn2ay5ii:1052378,HFX vs FOR (2019-05-04)
28,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,7,5,2,2,0,9,4,1,0,1,0,1,0,1,0,2,1,1,0,4,9,77,22,521,237,185,2.11,1,1,0.97,2,1,1,10,11,22,1,0,56,12,0,0,711,48,4,7,5,27,91.70%,10,8,44,6,1,6,3,2,12,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,13,175,201,335,27,35.30%,81.00%,208,82,132,160,265,0,20.1,1,57.10%,28,0.13,FOR vs CAV,2019-10-26,7exzoqwijjljpmysgu6cw2nai,15381,c2pdzdl3dgf5b0siidn2ay5ii:2031831,FOR vs CAV (2019-10-26)
29,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,7,6,1,1,1,6,3,0,0,0,0,2,0,2,1,1,1,1,0,3,8,53,29,526,219,225,1.69,2,2,1.51,2,3,1,11,12,22,1,0,53,10,0,0,709,53,9,12,5,39,77.80%,11,4,49,2,1,7,1,3,3,2,0,2,0,0,1,2,1,1,0,0,3,0,0,1,2,0,0,3,2,1,0,2,0,1,0,0,0,0,1,2,11,193,227,289,21,39.00%,84.40%,218,90,136,174,243,0,17.6,6,50.00%,32,1.21,FOR vs YK9,2019-09-08,556jgo29fuov3dnc9aab1kqy2,15382,c2pdzdl3dgf5b0siidn2ay5ii:1052428,FOR vs YK9 (2019-09-08)
29,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,66,17,543,293,167,1.06,0,0,0.27,1,0,0,2,2,14,1,0,46,8,0,0,709,55,8,11,9,37,47.50%,9,4,60,5,1,3,4,4,8,5,1,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,1,2,0,2,0,0,0,0,0,0,2,0,0,11,148,253,308,14,29.30%,84.70%,219,60,181,200,266,0,19.5,21,27.30%,11,0.45,HFX vs CAV,2019-08-10,56cafkdiwsx3musxydvg9ydm2,15376,41ewt71n8fqwy6trsqta1bjvu:1052431,HFX vs CAV (2019-08-10)
31,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,6,4,2,1,3,6,4,0,0,0,0,0,0,1,0,1,1,0,0,3,7,69,23,450,199,159,0.88,1,0,0.85,1,1,1,14,15,46,5,0,77,21,0,0,705,65,8,18,15,51,81.30%,8,6,71,3,5,7,4,2,8,5,1,1,0,0,0,1,0,0,0,0,3,1,0,0,3,0,0,2,2,1,0,3,0,0,0,0,0,0,3,12,13,165,185,355,28,32.90%,79.60%,191,60,107,134,239,0,18,6,54.80%,31,2.3,YK9 vs PAC,2019-06-15,4s2bhlyuzkp953p3w0mdoqdey,15380,cqthcpums3aas2tdy0qhlkuwa:1052396,YK9 vs PAC (2019-06-15)
