Rank,GM,optaTeamId,team,leagueId,league,week,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,game,date,gameId,oppOptaTeamId,scatterId,scatterExtra
32,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,0,4,3,1,1,1,5,2,0,0,1,0,2,0,2,1,0,1,0,1,0,8,64,25,515,269,157,1.64,2,2,1.47,2,2,1,8,9,25,2,2,55,12,0,0,702,53,7,12,6,45,73.10%,18,9,67,5,2,7,2,1,8,2,0,0,0,0,1,0,3,3,0,0,5,0,0,2,4,1,0,4,4,1,2,1,0,1,0,0,0,2,6,4,10,122,234,346,22,32.20%,82.70%,244,42,140,169,285,1,17.1,7,51.90%,27,3.07,PAC vs CAV,2019-07-06,4z7uwbvrigyaaxjbfvbl02d0q,15381,b3436h8h14zw7f1uv6w9vqf6y:1052412,PAC vs CAV (2019-07-06)
32,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,3,2,1,1,4,1,0,0,1,1,0,1,0,0,1,0,0,1,2,6,76,33,502,236,157,1.2,1,0,1.14,2,2,1,9,10,20,1,0,60,11,0,0,702,68,8,15,9,54,65.70%,22,7,73,3,6,8,1,3,6,2,0,0,0,0,1,0,1,1,0,0,4,2,0,1,1,0,0,2,2,2,1,2,1,0,2,0,0,2,2,10,17,151,289,262,10,36.50%,78.30%,164,55,174,219,206,0,20.8,12,43.20%,37,1.35,PAC vs HFX,2019-10-03,5k2vyf3lbvxx12td2no5kkfai,15376,b3436h8h14zw7f1uv6w9vqf6y:1052462,PAC vs HFX (2019-10-03)
34,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,13,9,4,1,0,7,2,0,0,1,0,3,0,1,0,3,2,2,1,8,7,64,26,531,231,210,3.68,3,2,2.82,7,6,6,9,15,25,4,4,56,17,0,0,701,38,8,8,7,35,61.50%,11,6,53,3,3,5,2,5,4,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,2,2,0,1,1,0,0,0,0,0,0,1,6,6,165,199,337,36,33.90%,83.10%,263,64,114,155,292,0,19.1,10,54.50%,22,1.05,EDM vs PAC,2019-08-10,56rc1pqth0zz4z61i5tjx282y,15380,73xrv2025rnj0t3y9ayp83bec:1052432,EDM vs PAC (2019-08-10)
35,1,15378,Valour,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,2,2,0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,86,27,483,170,200,1.08,0,0,1.01,1,1,1,7,8,31,4,4,75,18,1,1,700,57,12,12,15,47,55.80%,8,6,66,2,4,4,2,2,11,1,0,0,0,1,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,10,189,201,310,17,37.70%,76.60%,187,77,106,135,247,0,17,19,69.20%,26,1.71,VAL vs FOR,2019-05-17,4ntsd8m3ui3jxf14iv0ah2f6y,15377,dd2vf0yzjm7jm7cak9tf11sa2:1052386,VAL vs FOR (2019-05-17)
36,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,3,3,0,0,1,5,1,1,1,0,0,1,0,0,0,0,0,1,0,5,3,67,21,505,208,209,1.18,1,0,0.28,1,0,1,5,6,18,2,0,41,8,2,0,696,53,4,9,13,50,56.50%,23,11,48,3,3,8,3,0,10,3,1,0,0,0,0,0,0,0,0,1,5,0,0,2,3,1,0,4,4,1,2,1,0,1,1,0,0,1,2,8,15,153,215,328,17,35.20%,82.60%,223,72,122,149,262,0,18.6,10,43.80%,16,2.3,FOR vs YK9,2019-10-06,5lomje72gq8r3x9xte5tduwru,15382,c2pdzdl3dgf5b0siidn2ay5ii:1052465,FOR vs YK9 (2019-10-06)
37,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,3,2,3,0,5,1,0,0,1,0,0,0,0,0,1,0,0,0,5,4,69,31,480,237,143,1.7,0,0,0.79,2,1,6,3,9,24,4,4,77,15,0,0,695,44,7,16,9,42,71.90%,10,5,49,4,2,2,4,5,10,3,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,11,158,242,295,35,34.80%,79.20%,178,59,143,173,230,2,21,9,66.70%,30,1.03,CAV vs FOR,2019-06-22,4vss0kvhfu78tzig6ibaksnl6,15377,41ewt71n8fqwy6trsqta1bjvu:1052402,CAV vs FOR (2019-06-22)
38,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,2,2,0,1,1,6,2,0,0,1,0,0,0,0,0,2,1,0,0,2,3,56,24,494,216,198,0.71,0,0,0.42,0,0,2,4,6,10,1,0,47,5,0,0,692,49,9,15,13,58,66.70%,21,11,53,2,2,3,1,1,5,1,0,0,1,0,0,0,1,1,0,0,6,0,0,2,5,1,0,5,5,1,3,1,0,1,0,0,0,0,2,4,19,136,251,305,14,33.40%,83.80%,217,66,131,160,250,0,18.1,12,57.90%,19,1.46,EDM vs FOR,2019-10-03,5ja0uunrontjjnbpxtcjqmjje,15377,73xrv2025rnj0t3y9ayp83bec:1052461,EDM vs FOR (2019-10-03)
38,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,4,4,0,1,0,3,3,0,0,0,0,3,0,2,1,0,1,2,0,2,4,80,23,463,194,166,1.62,3,3,1.56,3,3,3,4,7,25,2,1,74,17,1,1,692,78,10,18,18,68,63.60%,21,7,71,5,1,8,3,2,6,0,1,0,0,1,0,1,0,0,0,0,2,0,0,1,1,0,0,2,1,1,0,1,0,1,0,0,0,1,2,4,24,133,187,372,14,32.80%,77.80%,230,46,84,118,280,0,17.8,16,48.60%,37,1.04,FOR vs PAC,2019-05-08,4l9f4xu6zpjpzyxu1pzemvd62,15380,c2pdzdl3dgf5b0siidn2ay5ii:1052381,FOR vs PAC (2019-05-08)
38,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,6,5,1,0,0,3,1,0,0,1,0,1,0,2,0,2,1,0,1,2,4,78,23,456,226,129,1.81,2,0,0.91,3,1,1,3,4,29,3,0,77,13,0,0,692,84,10,18,12,55,56.00%,13,3,72,6,4,7,3,6,6,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,3,0,10,17,183,220,289,18,36.20%,77.90%,172,55,128,168,216,0,20,22,54.80%,42,0.39,HFX vs CAV,2019-06-19,4tfd4it6sv7n7x6cvlq4xoewa,15376,41ewt71n8fqwy6trsqta1bjvu:1052399,HFX vs CAV (2019-06-19)
38,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,8,7,1,0,0,5,1,0,0,1,0,3,0,2,1,2,2,1,1,3,6,61,23,499,275,140,3.07,3,3,2.94,6,6,3,7,10,19,3,0,53,7,2,2,692,55,8,13,15,51,63.60%,14,8,68,2,2,8,2,4,7,4,0,1,0,0,0,0,2,2,0,0,2,0,0,2,0,0,0,2,1,1,0,0,0,1,1,0,0,1,2,4,9,140,289,263,24,35.30%,83.20%,172,55,188,228,202,0,20.1,12,48.10%,27,1.64,PAC vs CAV,2019-07-06,4z7uwbvrigyaaxjbfvbl02d0q,15380,41ewt71n8fqwy6trsqta1bjvu:1052412,PAC vs CAV (2019-07-06)
42,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,4,4,0,2,0,6,3,0,0,0,0,2,0,2,0,0,0,0,2,3,7,60,27,492,283,122,1.54,2,2,1.3,3,2,1,9,10,18,0,0,59,9,2,2,691,49,12,10,10,56,62.90%,21,12,47,4,5,6,1,6,9,1,0,0,1,0,0,2,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,2,8,88,282,321,18,33.10%,82.30%,223,27,155,189,265,1,18.1,13,61.90%,21,0.6,YK9 vs EDM,2019-07-14,50csrm3c5dwo6x2beuh3pu0dm,6925,cqthcpums3aas2tdy0qhlkuwa:1052415,YK9 vs EDM (2019-07-14)
43,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,3,2,1,1,8,3,0,0,1,0,1,0,0,0,3,1,0,1,2,7,76,43,475,229,127,1.57,1,0,0.52,0,0,5,3,8,15,1,1,63,10,2,0,690,60,8,18,8,50,96.30%,14,9,64,3,2,10,1,3,9,2,0,0,0,0,0,0,1,1,0,0,4,0,1,2,2,0,0,4,3,1,1,0,0,2,0,0,0,1,2,0,22,126,289,275,26,38.90%,74.90%,168,34,154,203,218,0,21.6,1,47.10%,34,1.08,HFX vs EDM,2019-09-28,5gk087h2bwqn6u7ux5gmezpm2,15376,73xrv2025rnj0t3y9ayp83bec:1052457,HFX vs EDM (2019-09-28)
44,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,3,3,0,0,1,4,2,0,0,2,0,0,0,0,0,1,0,0,0,3,3,92,38,464,194,140,0.51,0,0,0.51,1,1,1,5,6,21,1,1,70,10,0,0,689,73,10,15,14,48,71.40%,6,2,58,5,1,7,5,5,10,2,0,1,0,0,0,1,1,1,0,0,4,0,0,2,2,0,0,4,4,0,1,1,0,2,0,0,0,2,1,4,29,141,260,288,17,38.60%,72.00%,160,47,127,173,229,0,19.5,10,53.60%,28,1,FOR vs CAV,2019-10-16,5n3wpjv5f0ccbrfa73tl80qju,15377,41ewt71n8fqwy6trsqta1bjvu:1052467,FOR vs CAV (2019-10-16)
45,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,9,6,3,4,1,8,1,0,0,0,0,1,0,1,0,4,0,0,0,2,10,50,20,502,278,154,4.3,1,0,1.85,8,4,4,11,15,11,0,0,47,6,0,0,688,61,9,13,11,44,55.00%,11,2,48,4,2,8,5,3,4,1,0,0,0,0,0,0,3,0,3,0,4,0,0,2,1,1,0,3,1,3,1,1,0,0,3,0,2,4,2,0,15,167,253,268,28,32.30%,86.10%,197,67,168,193,232,0,20.4,18,43.80%,16,1.73,PAC vs CAV,2019-07-01,4y80wf71m0f30yb3hu1lw0lt6,15380,41ewt71n8fqwy6trsqta1bjvu:1052408,PAC vs CAV (2019-07-01)
46,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,8,6,2,2,1,5,0,1,1,1,0,3,1,2,0,3,0,2,2,4,6,70,24,520,257,169,3.7,4,2,1.99,7,4,4,7,12,15,0,0,49,5,0,0,682,46,4,6,12,28,52.60%,6,2,53,4,4,5,2,3,7,2,0,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,2,4,7,149,238,295,34,39.80%,81.90%,197,70,159,190,243,0,20.2,9,63.90%,36,1.43,CAV vs PAC,2019-09-22,5frccedgczakga77kz816gq5m,15380,41ewt71n8fqwy6trsqta1bjvu:1052456,CAV vs PAC (2019-09-22)
47,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,2,3,0,2,4,2,0,0,1,0,0,1,1,0,0,0,1,0,5,4,63,18,439,185,173,1.25,1,1,0.55,3,1,0,7,7,27,3,2,58,12,0,0,680,62,5,20,11,53,69.40%,12,4,67,2,3,2,4,1,7,1,0,1,0,0,0,2,1,1,0,0,3,0,0,2,3,0,0,2,1,2,1,0,0,0,0,0,0,1,1,6,23,183,220,277,18,37.40%,81.50%,179,70,109,136,210,0,20.1,11,52.60%,19,1.19,PAC vs FOR,2019-09-05,5csq6qhbz3695no5qnz9f91ey,15380,c2pdzdl3dgf5b0siidn2ay5ii:1052447,PAC vs FOR (2019-09-05)
48,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,51,26,496,247,172,0.16,0,0,0.13,0,0,0,3,3,11,0,0,51,3,0,0,677,60,11,16,10,45,61.40%,8,4,65,4,3,11,0,8,3,0,0,0,0,0,0,1,2,2,0,0,6,0,0,2,4,2,0,4,3,3,0,4,1,0,1,0,0,3,5,2,13,131,214,332,13,32.70%,84.50%,231,63,125,153,263,0,18.9,17,64.70%,17,2.35,FOR vs EDM,2019-05-29,4qwuoebydeda6hc2t7c8ky8a2,15377,73xrv2025rnj0t3y9ayp83bec:1052393,FOR vs EDM (2019-05-29)
49,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,2,1,1,2,5,3,3,0,0,2,1,0,1,0,0,0,0,1,0,3,2,72,14,473,204,183,0.6,1,0,0.35,0,0,1,5,6,19,2,0,49,13,2,2,676,59,6,10,9,38,64.00%,12,4,50,7,1,10,4,4,6,1,0,0,0,0,3,0,2,2,0,0,2,0,0,1,0,0,0,2,2,0,0,1,0,1,1,0,0,2,3,0,16,153,162,361,18,30.70%,81.80%,236,56,95,110,290,0,19.8,9,38.10%,21,1.54,YK9 vs EDM,2019-07-14,50csrm3c5dwo6x2beuh3pu0dm,15382,73xrv2025rnj0t3y9ayp83bec:1052415,YK9 vs EDM (2019-07-14)
49,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,2,2,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,54,19,496,287,136,0.61,1,1,0.58,1,1,1,2,3,11,0,0,44,4,0,0,676,61,1,16,11,49,60.70%,17,6,53,5,3,8,1,5,7,3,1,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,2,0,2,0,0,0,2,0,1,0,2,0,2,18,134,274,268,10,32.90%,85.30%,190,51,182,213,220,0,20.5,11,50.00%,20,1.23,PAC vs HFX,2019-04-28,4itgc6bq5l5c7iv5k27xex9wq,15376,b3436h8h14zw7f1uv6w9vqf6y:1052376,PAC vs HFX (2019-04-28)
51,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,3,3,0,0,1,2,1,0,0,0,0,2,0,2,0,0,0,0,2,2,3,72,26,476,224,154,1.08,2,1,0.44,2,1,0,3,3,25,3,1,58,14,0,0,672,42,5,7,16,41,75.00%,12,8,64,2,4,3,1,3,9,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,8,118,239,315,9,36.60%,79.40%,174,51,153,186,221,0,19.4,4,58.80%,34,0.76,EDM vs HFX,2019-07-01,4xl9k0k5zmput7d3mb348balm,15376,73xrv2025rnj0t3y9ayp83bec:1052407,EDM vs HFX (2019-07-01)
51,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,2,2,1,9,7,2,4,1,9,4,1,1,0,0,4,0,3,1,1,1,1,2,9,7,69,20,486,188,209,3.28,4,3,2.29,4,3,1,17,18,22,9,6,62,18,0,0,672,50,3,12,15,45,50.00%,14,6,59,4,3,6,1,3,5,2,1,0,0,0,0,0,0,0,0,1,4,0,0,3,0,0,0,4,3,1,0,1,0,1,3,0,0,3,0,0,7,183,206,283,37,34.80%,81.70%,203,86,108,143,234,1,18.6,15,60.60%,33,0.56,VAL vs YK9,2019-10-17,5ncl09fzjg81svtrbszlddpbe,15378,cqthcpums3aas2tdy0qhlkuwa:1052468,VAL vs YK9 (2019-10-17)
53,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,1,1,0,2,1,1,7,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,2,1,72,11,468,203,182,1.74,1,0,0.28,3,0,3,2,5,19,1,0,45,8,0,0,671,60,3,10,12,41,48.10%,14,8,63,8,1,9,5,5,5,2,0,0,0,0,1,1,1,1,0,1,4,0,1,0,3,0,0,4,4,0,1,2,0,0,1,0,0,4,2,0,11,158,194,319,21,38.20%,82.30%,224,47,114,134,265,0,18.8,14,52.60%,19,1.42,HFX vs YK9,2019-05-29,4qj49w97y7akocf4ixxx38r56,15376,cqthcpums3aas2tdy0qhlkuwa:1052392,HFX vs YK9 (2019-05-29)
54,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,5,4,1,0,1,9,1,0,0,0,0,1,0,0,0,3,2,0,1,4,5,80,25,496,217,174,2.74,1,0,0.88,4,1,6,4,10,14,0,0,64,8,0,0,670,50,3,12,14,34,60.00%,5,2,68,4,3,4,6,6,10,2,0,0,0,0,0,0,3,3,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3,2,9,148,161,361,27,37.10%,78.80%,249,45,97,121,305,0,17.7,10,57.90%,38,2.14,VAL vs EDM,2019-10-05,5knlpt5ejz2gvvucptl64q73e,15378,73xrv2025rnj0t3y9ayp83bec:1052463,VAL vs EDM (2019-10-05)
54,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,5,4,1,2,0,2,2,0,0,0,0,1,1,0,0,0,0,1,1,3,4,63,20,464,237,144,0.96,2,2,0.7,1,1,2,3,5,22,1,0,55,11,0,0,670,42,4,14,9,33,75.00%,4,2,59,5,3,6,5,5,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,9,151,245,274,20,36.90%,82.10%,173,42,166,196,212,0,20.4,6,64.70%,17,0.17,CAV vs HFX,2019-10-05,5l2yv4eiv12t5oztzmppfxsoa,15376,41ewt71n8fqwy6trsqta1bjvu:1052464,CAV vs HFX (2019-10-05)
56,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,2,2,0,1,3,6,3,0,0,0,0,0,0,0,0,3,1,0,0,0,4,73,25,476,205,173,0.83,0,0,0.68,1,1,3,7,10,12,1,1,57,5,0,0,669,56,4,11,8,47,71.40%,24,12,61,5,1,6,4,2,13,1,0,0,0,0,1,2,1,1,0,0,2,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,2,0,2,15,148,242,279,17,39.50%,79.40%,186,56,136,171,231,0,20.3,6,50.00%,40,0.75,PAC vs EDM,2019-09-14,5dn16vvqaa96vbba40es3uq22,15380,73xrv2025rnj0t3y9ayp83bec:1052451,PAC vs EDM (2019-09-14)
57,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,1,1,0,6,3,3,2,2,3,2,1,0,1,0,1,1,0,0,1,0,0,2,3,5,60,19,498,238,181,1.56,2,0,0.27,2,0,2,5,7,22,3,0,52,9,0,0,666,54,6,6,10,35,66.70%,13,5,42,5,4,7,4,5,6,0,0,1,0,1,0,0,2,2,0,1,5,1,1,0,2,2,0,2,5,0,1,3,0,0,3,0,0,1,1,8,12,141,227,298,17,34.10%,84.10%,217,50,152,176,254,0,18.8,6,58.60%,29,1.5,EDM vs YK9,2019-08-25,5aoowrl9kk9cw97nk27elvjoq,6925,cqthcpums3aas2tdy0qhlkuwa:1052441,EDM vs YK9 (2019-08-25)
58,1,15380,Pacific,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,5,3,2,1,1,2,1,0,0,0,0,1,1,2,0,0,0,1,1,5,2,52,22,503,270,159,1.23,2,2,1.23,2,2,0,9,9,17,1,1,39,9,1,0,665,48,6,9,7,35,62.50%,12,2,45,4,1,9,2,2,5,6,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,3,3,0,6,114,263,288,12,33.80%,85.30%,207,43,179,210,238,0,17.6,9,33.30%,18,1.75,VAL vs PAC,2019-06-21,4utuyg569u044xn8dje4lbhii,15378,b3436h8h14zw7f1uv6w9vqf6y:1052391,VAL vs PAC (2019-06-21)
58,1,15381,Cavalry,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,3,3,0,2,1,9,2,0,0,0,0,1,0,1,0,3,0,0,1,4,5,83,19,471,239,130,1.72,1,1,1.47,2,2,8,2,10,26,1,1,47,9,0,0,665,58,7,4,10,37,55.00%,14,4,60,3,3,5,4,2,5,0,1,0,0,0,0,0,0,0,0,0,5,0,1,3,0,0,0,5,3,2,0,1,0,3,2,0,0,0,0,6,10,169,259,237,25,35.20%,78.30%,149,56,164,199,198,1,21.4,9,51.60%,31,0.64,HFX vs CAV,2019-07-13,4znhj76oh9yauo4ph40jfqn3e,15376,41ewt71n8fqwy6trsqta1bjvu:1052413,HFX vs CAV (2019-07-13)
60,1,6925,Edmonton,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,17,480,242,147,0.02,0,0,0.02,0,0,0,1,1,15,0,0,58,5,0,0,664,63,13,13,6,54,68.40%,22,15,54,3,4,4,1,5,5,3,1,0,0,0,0,0,0,0,0,0,6,0,1,4,2,0,0,6,4,2,1,0,0,3,1,0,0,1,1,2,12,73,242,349,4,35.80%,81.00%,234,23,132,164,283,0,20,12,46.20%,39,0.98,HFX vs EDM,2019-09-02,5bq4jk75i9rlsdkao5607vo16,15376,73xrv2025rnj0t3y9ayp83bec:1052445,HFX vs EDM (2019-09-02)
61,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,7,6,1,0,1,6,3,0,0,1,1,2,1,2,0,1,0,0,3,4,7,47,26,483,216,194,1.81,3,2,1.69,3,3,1,10,11,21,1,0,58,11,2,2,663,51,5,13,12,42,69.20%,11,6,47,6,5,4,1,3,5,2,0,0,0,1,1,1,1,1,0,0,4,0,1,1,2,0,0,4,1,3,0,2,0,0,2,0,0,0,0,6,14,166,210,287,18,32.30%,84.90%,213,80,117,146,242,0,16.8,8,74.10%,27,0.6,VAL vs YK9,2019-07-01,4ygmge1gwxxwqy6493t10br6y,15378,cqthcpums3aas2tdy0qhlkuwa:1052409,VAL vs YK9 (2019-07-01)
62,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,7,6,1,2,1,5,3,0,0,0,0,1,0,0,0,0,2,0,1,4,6,70,17,454,163,204,1.46,1,1,1.19,2,2,4,7,11,28,3,2,49,12,0,0,660,47,9,13,10,48,81.50%,14,5,59,1,2,5,2,2,3,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,2,0,1,0,0,1,1,0,0,1,0,6,11,205,165,290,24,37.20%,80.80%,196,82,89,111,236,0,20.8,5,42.10%,19,0.71,EDM vs FOR,2019-10-03,5ja0uunrontjjnbpxtcjqmjje,6925,c2pdzdl3dgf5b0siidn2ay5ii:1052461,EDM vs FOR (2019-10-03)
63,1,15377,Forge,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,3,2,1,3,4,3,2,0,0,1,0,2,0,2,0,1,0,1,1,3,2,61,24,457,227,145,1.25,2,2,1.1,2,3,3,6,9,17,3,2,45,9,0,0,658,53,3,8,10,36,47.80%,13,3,46,2,2,7,4,1,8,2,0,0,0,1,0,0,2,1,1,0,5,0,0,0,3,1,1,4,4,1,0,4,0,0,2,0,0,1,4,2,11,165,189,304,22,30.40%,81.40%,209,49,114,141,248,0,19.4,12,48.10%,27,1.89,FOR vs HFX,2019-09-15,5dzgbpowfq3bfc0jp50nxi0yy,15376,c2pdzdl3dgf5b0siidn2ay5ii:1052452,FOR vs HFX (2019-09-15)
63,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,1,11,8,3,2,1,6,2,1,1,0,0,3,1,3,0,2,1,2,2,7,7,72,29,437,167,169,2.31,4,3,1.36,3,2,4,11,15,26,9,5,52,13,0,0,658,49,2,8,16,49,62.50%,23,12,58,5,2,7,4,2,3,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,4,5,174,190,294,44,40.70%,76.90%,175,66,95,128,224,0,19.5,6,61.80%,34,1.06,YK9 vs FOR,2019-10-12,5augx4ovgk22zt4obomrdqaui,15377,cqthcpums3aas2tdy0qhlkuwa:1052442,YK9 vs FOR (2019-10-12)
65,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,6,2,4,3,2,12,5,0,0,0,0,0,0,0,0,4,1,0,0,9,4,79,25,431,167,160,0.99,0,0,0.66,0,0,5,11,16,19,2,1,64,11,0,0,654,53,11,6,16,45,51.50%,11,1,59,8,1,4,2,2,7,1,0,0,0,0,0,0,2,2,0,0,5,0,0,3,2,1,0,4,3,2,0,2,1,1,1,0,0,2,2,4,10,176,177,301,27,39.90%,75.90%,182,55,90,112,238,0,20.5,16,71.40%,35,1.3,YK9 vs FOR,2019-05-25,4p3yxc6c1bq7vi5foh0praaga,15377,cqthcpums3aas2tdy0qhlkuwa:1052389,YK9 vs FOR (2019-05-25)
66,1,15382,York9,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),,3,3,0,3,2,1,1,2,6,0,1,1,0,0,1,0,0,0,2,0,1,0,5,2,79,33,441,204,125,2.73,2,0,1.94,4,3,3,8,11,20,0,0,70,6,0,0,653,51,5,18,12,53,88.50%,16,7,46,4,2,3,5,6,10,4,0,2,0,0,0,2,2,1,1,1,3,0,0,2,3,0,0,3,1,2,0,1,0,0,0,0,0,2,3,4,12,129,245,279,19,40.10%,74.60%,163,38,128,170,214,0,20.4,3,59.50%,37,1.89,PAC vs YK9,2019-05-18,4o4p0koos9zpm6n7zu3b8p0fe,15380,cqthcpums3aas2tdy0qhlkuwa:1052387,PAC vs YK9 (2019-05-18)
