index,0,1,2,3,4,5,6
Atlético Ottawa,na,na,na,na,na,na,na
Cavalry FC,na,na,na,na,na,na
FC Edmonton,na,na,na,na,na,na
Forge FC,na,na,na,na,na,na
HFX Wanderers FC,na,na,na,na,na,na
Pacific FC,na,na,na,na,na,na
Valour FC,na,na,na,na,na,na
York United FC,na,na,na,na,na,na
