Rank,GM,playerId,optaPersonId,Min,Age,Position,firstName,lastName,player,team,teamId,optaTeamId,leagueId,league,SubOff,SubOn,GWG,SOG,SOTInBox,SOTOBox,BlkdInBox,BlkdOutBox,Off,OffTgtOBox,OffTgtInBox,PenTaken,PenGoal,ShotDirFK,GoalDirFK,GoalInBx,GoalOBx,GoalOP,GoalHead,OfTgHd,SOTHead,GoalLF,GoalRF,ShotLF,ShotRF,PsOpHfFl,PsOnHfFl,PsAtt,PsOnHfScs,PsOpHfScs,ExpG,Goal,Ast,ExpA,BgChnc,BgChncCrtd,ChncSetPl,ChncOpnPl,Chance,1v1,1v1InBox,Sc1v1InBox,SucflDuels,Success1v1,ThrghBalls,ThrghBlCmp,Touches,DuelLs,FailTackle,SucflTkls,Int,DefTouch,TcklMade%,Clrnce,HeadClear,Recovery,FlComA3,FlComD3,FlComM3,FlSufA3,FlSufD3,FlSufM3,Offsides,CleanSheet,CrossPunch,ErrGoal,ErrShot,Cleared,KeeperCtch,GoalCncd,GoalCnIBx,GoalCnOBx,PensWon,Saves,SvBody,SvCght,SvClct,SvDive,SvFeet,SvFTip,SvHands,SvInBox,SvOutBox,SvPrdDng,SvPrdSaf,SvReach,SvStand,SvStoop,2ndYellow,Red,Yellow,BgChncFace,Turnover,Disposs,TchsA3,TchsD3,TchsM3,TouchOpBox,%PassFwd,Pass%,PsCmpM3,PsCmpA3,PsCmpD3,PsAttA3,PsAttD3,PsAttM3,Pull Back Passes Completed,PsDist,ChlngeLost,Aerial%,Aerials,ExpGAg,Average Shot Distance Open Play,PullBk,BgChnc,BgChncGoal,CrossOpen,Crosses,FwdPassCmp%,DefTouchD3,DefTouchM3,DefTouchA3,Open Play xG,Set Piece XG,NonPenxG,Key Passes,Defensive Blocks,season,seasonId,scatterId,scatterExtra
11,6,5m5p9c4iyl4f4j1rr1rdmojfu,481561,413,24,Central Midfielder,Elijah,Adekugbe,E. Adekugbe,Cavalry,41ewt71n8fqwy6trsqta1bjvu,15381,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),3,1,0,3,1,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,30,5,275,152,88,0.17,0,1,0.42,0,0,4,4,8,6,0,0,30,5,0,0,359,16,2,6,6,17,66.7%,3,0,26,1,1,3,1,5,5,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,67,66,226,1,26.9%,87.3%,178,20,42,26,48,201,0,19.1,4,50.0%,12,0.00,21,0,0,0,3,20,67.6%,8,6,3,0.08,0.09,0.17,7,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:5m5p9c4iyl4f4j1rr1rdmojfu,Canadian Premier League 2020 (Canada)
12,6,6o11en42rzgf741oqqlu9a47p,159509,540,25,Left Centre Back,Luca,Gasparotto,L. Gasparotto,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,1,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,18,24,274,180,52,0.46,0,0,0.00,0,0,0,0,0,0,0,0,27,0,0,0,358,12,3,5,14,59,88.9%,37,25,15,1,1,2,0,0,2,0,2,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,2,10,248,100,7,47.1%,84.7%,81,3,148,3,181,90,0,21.8,1,77.3%,22,0.00,0,0,0,0,0,0,71.3%,55,4,0,0.00,0.46,0.46,0,3,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:6o11en42rzgf741oqqlu9a47p,Canadian Premier League 2020 (Canada)
13,5,7w93cfaszi89ex6xdf9tgkp9l,199141,450,25,Right Centre Back,Mélé,Temguia,M. Temguia,Edmonton,73xrv2025rnj0t3y9ayp83bec,6925,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,28,15,272,155,74,0.45,0,0,0.00,0,0,0,0,0,5,1,0,30,4,0,0,349,23,3,10,11,40,81.3%,14,7,33,7,3,3,0,3,4,0,0,0,0,0,0,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,18,184,147,9,43.0%,84.2%,104,7,118,10,137,125,0,20.7,3,60.0%,10,0.00,0,0,0,0,1,1,73.5%,31,9,0,0.00,0.45,0.45,0,3,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7w93cfaszi89ex6xdf9tgkp9l,Canadian Premier League 2020 (Canada)
14,6,4c5w90f125c6det9gu0ljmgnp,481754,540,24,Right Centre Back,Peter,Schaale,P. Schaale,HFX Wanderers,5gmx3o5y2oc0i6rowjwtu7jvu,15376,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,61,16,254,104,73,0.26,0,0,0.09,0,0,1,1,2,4,0,0,29,3,0,0,343,21,4,6,8,57,83.3%,37,19,25,2,0,3,0,3,1,0,1,0,0,0,0,0,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,4,9,186,148,3,65.0%,69.7%,95,2,80,3,118,133,0,26.3,2,59.1%,22,0.00,0,0,0,0,1,1,58.2%,50,7,0,0.00,0.26,0.26,2,4,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:4c5w90f125c6det9gu0ljmgnp,Canadian Premier League 2020 (Canada)
15,5,41fep3jlo1ieyq9hvpmsl6wvd,225056,405,21,Right Back,Kadin,Chung,K. Chung,Pacific,b3436h8h14zw7f1uv6w9vqf6y,15380,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,208,84,89,0.00,0,0,0.08,0,0,1,2,3,10,0,0,35,6,0,0,338,15,3,13,5,28,76.2%,7,3,21,0,1,1,1,3,2,0,1,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,5,92,118,128,1,40.9%,83.2%,79,41,53,47,70,91,0,17.8,5,87.5%,8,0.00,0,0,0,0,16,16,70.6%,21,4,3,0.00,0.00,0.00,3,2,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:41fep3jlo1ieyq9hvpmsl6wvd,Canadian Premier League 2020 (Canada)
16,6,13wkddshf1c9zrygeg7r3s6w9,421818,540,19,Right Centre Back,Julian,Dunn-Johnson,J. Dunn-Johnson,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,13,258,162,53,0.00,0,0,0.03,0,0,1,0,1,4,0,0,31,2,0,0,337,27,6,5,7,38,73.3%,18,12,30,2,2,1,0,2,1,0,2,0,0,1,0,0,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,12,233,92,7,50.8%,83.3%,66,2,147,6,170,82,0,21.3,4,62.5%,24,0.00,0,0,0,0,1,1,74.0%,34,4,0,0.00,0.00,0.00,1,7,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:13wkddshf1c9zrygeg7r3s6w9,Canadian Premier League 2020 (Canada)
17,5,7yfwpe3tltsxez80puqy7hoet,95575,450,28,Central Midfielder,Joseph,Di Chiara,J. Di Chiara,York9,cqthcpums3aas2tdy0qhlkuwa,15382,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),0,0,1,6,4,2,1,3,2,0,1,2,2,1,0,3,0,0,1,0,1,0,2,2,5,22,11,243,91,119,2.13,3,0,0.22,2,0,0,4,4,10,0,0,33,5,0,0,336,37,4,8,7,25,63.2%,6,3,37,5,2,6,6,3,6,0,1,0,0,0,0,0,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,5,103,67,166,19,23.5%,86.4%,128,45,37,57,42,144,0,18.0,7,10.0%,10,0.00,19,0,2,2,3,7,71.9%,12,10,3,0.29,1.83,0.55,4,3,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:7yfwpe3tltsxez80puqy7hoet,Canadian Premier League 2020 (Canada)
18,6,2zedqkn15thv6wx5xmgv48gd1,140123,485,30,Central Midfielder,Kyle,Bekker,K. Bekker,Forge,c2pdzdl3dgf5b0siidn2ay5ii,15377,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,0,1,3,2,1,0,3,2,1,1,0,0,0,0,2,0,2,1,0,1,0,1,2,2,31,19,252,96,106,1.01,2,0,0.49,2,0,4,6,10,4,0,0,20,3,0,0,333,26,3,1,3,17,26.7%,10,6,36,0,1,4,2,3,4,0,2,0,0,1,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,98,59,176,7,32.5%,80.2%,127,47,28,58,42,152,0,19.3,11,50.0%,8,0.00,15,0,2,2,5,21,57.3%,10,4,3,0.91,0.10,1.01,10,1,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:2zedqkn15thv6wx5xmgv48gd1,Canadian Premier League 2020 (Canada)
19,6,4tus0wc9k482jmoncnstteelm,481577,461,25,Defensive Midfielder,Raphael,Ohin,R. Ohin,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),2,1,0,2,0,2,1,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,11,264,129,103,0.28,0,0,0.41,0,1,0,4,4,5,0,0,23,3,0,0,328,18,4,3,10,22,63.6%,4,1,34,2,2,3,1,2,7,0,2,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,38,122,168,2,37.1%,87.9%,131,19,82,23,95,146,0,18.6,4,57.1%,7,0.00,26,0,0,0,0,0,71.4%,17,4,1,0.26,0.02,0.28,4,1,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:4tus0wc9k482jmoncnstteelm,Canadian Premier League 2020 (Canada)
20,6,16q3kpp7uxqjn9993xd5woauh,213571,399,23,Central Midfielder,Diego,Gutiérrez,D. Gutiérrez,Valour,dd2vf0yzjm7jm7cak9tf11sa2,15378,6lkj3o21cr4g7bql6tb3fk222,Canadian Premier League (Canada),1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34,6,264,106,118,0.12,0,0,0.12,0,0,1,1,2,3,0,0,16,3,0,0,326,19,1,5,6,15,50.0%,3,1,33,2,2,4,1,2,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,76,54,196,5,31.1%,84.8%,149,40,35,52,41,171,0,18.3,6,75.0%,4,0.00,0,0,0,0,2,7,70.7%,8,7,0,0.00,0.12,0.12,2,1,Canadian Premier League 2020 (Canada),1gz4f3r68v3w92gdsu12lom0a,1gz4f3r68v3w92gdsu12lom0a:16q3kpp7uxqjn9993xd5woauh,Canadian Premier League 2020 (Canada)
